topic,title_hint,demand_score,bing_impressions_weekly,google_monthly_volume,utilization_rank,busa_overlap,competitor_density,state_specific,priority,competitor_enumeration_source,manual_brainstorm_score,sources,already_queued
just-lost-job,Just Lost Your Job? Health Insurance Options in 2026,,,,,slight,high,y,LIVE,"Healthcare.gov /sep, healthinsurance.org Norris, KFF, Boomer, NerdWallet",10,"competitor-landscape §5, BUSA cobra-vs-marketplace, BUSA lost-job-what-benefits",live
turning-26,Turning 26? Aging Off Parent's Plan in 2026,,,,,slight,high,y,LIVE,"Healthcare.gov, RKA, GoodRx, MoneyGeek, NAIC, UHC, BCBSTX",10,competitor-landscape §5,live
turning-65,Turning 65? Medicare Enrollment Deadlines 2026,,,,,slight,high,n,LIVE,"Medicare.gov, MedicareFaq, Boomer Benefits, EBInsurance, Kiplinger",10,competitor-landscape §5,live
laid-off,Laid Off? Your Health Insurance Options Explained in 2026,,,,,slight,high,y,1,"Healthcare.gov sep/job-loss, healthinsurance.org, NerdWallet",10,CONTENT_INVENTORY CU-218,queued
got-married,Just Got Married? Health Insurance Options and SEP Rules 2026,,,,,slight,medium,n,1,"Healthcare.gov /sep/marriage, healthinsurance.org, KFF",10,CONTENT_INVENTORY CU-221,queued
got-divorced,Got Divorced? Health Insurance After Divorce in 2026,,,,,slight,medium,n,1,"Healthcare.gov /sep, Norris, NerdWallet, Verywell",10,"CONTENT_INVENTORY CU-213, CU-167",queued
having-a-baby,Having a Baby? Adding a Newborn to Your Health Insurance 2026,,,,,slight,medium,y,1,"Healthcare.gov /sep/birth, March of Dimes, KFF",10,CONTENT_INVENTORY CU-217,queued
moving-states,Moving to a New State? Switching Health Insurance 2026,,,,,slight,medium,y,1,"Healthcare.gov /sep/move, NerdWallet, healthinsurance.org",10,CONTENT_INVENTORY CU-219,queued
turning-65-still-working,Turning 65 While Still Working: Do You Need Medicare in 2026?,,,,,slight,high,n,1,"Medicare.gov, Boomer Benefits, MedicareFaq, SSA",9,CONTENT_INVENTORY CU-107,queued
medicare-aep-2026,Medicare Annual Enrollment Period 2026: Dates and What You Can Change,,,,,slight,high,n,1,"Medicare.gov, Kaiser, NerdWallet, MedicareGuide",10,medicare-explainer CU-206,queued
medicare-oep-2026,Medicare Open Enrollment Period (Jan-Mar) 2026: Can You Still Switch?,,,,,none,medium,n,1,"Medicare.gov, MedicareFaq, eHealth",9,competitor-landscape,n
sep-2026-overview,ACA Special Enrollment Period 2026: Who Qualifies and How to Apply,,,,,slight,high,n,1,"Healthcare.gov /sep, Norris, KFF",10,CONTENT_INVENTORY CU-134,queued
pregnant-coverage,Health Insurance for Pregnant Women 2026: ACA SEP + Medicaid Path,,,,,slight,medium,y,1,"Healthcare.gov, Medicaid.gov, KFF, March of Dimes",10,"CONTENT_INVENTORY CU-197, CU-023",queued
sep-missed-deadline,Missed Open Enrollment 2026? Your SEP Options and Catastrophic Path,,,,,none,medium,n,1,"Healthcare.gov, Norris, eHealth",9,competitor-landscape §5,n
cobra-expiring,COBRA Expiring? Your Next-60-Days Coverage Plan 2026,,,,,slight,medium,n,1,"Healthcare.gov /sep/cobra-ending, DOL, Norris",10,competitor-landscape §5,n
cobra-vs-marketplace,COBRA vs Marketplace 2026: Cost Comparison and Which to Pick,,,,,heavy,high,n,3,"Healthcare.gov, KFF, NerdWallet, Norris, Boomer",10,BUSA cobra-vs-marketplace exact dupe,n
lost-medicaid-unwinding,Lost Medicaid in the Unwinding? Your Next 60 Days in 2026,,,,,slight,medium,y,1,"Medicaid.gov, KFF Medicaid Watch, CMS, Norris",10,"competitor-landscape §5, KFF unwinding tracker",n
medicaid-renewal-2026,Medicaid Renewal Notice 2026: What to Do in 30 Days,,,,,slight,medium,y,1,"Medicaid.gov, CMS, KFF",9,competitor-landscape,n
medicaid-denied,Medicaid Denied? Appeal Steps + Marketplace Backup 2026,,,,,slight,low,y,2,"Medicaid.gov, NHeLP, CMS",8,competitor-landscape,n
chip-to-marketplace,Kid Aging Off CHIP? Transition Path in 2026,,,,,slight,low,y,2,"CMS InsureKidsNow, Medicaid.gov, KFF",8,manual brainstorm,n
just-retired,Just Retired? Health Insurance Between Employer and Medicare 2026,,,,,slight,high,n,1,"Medicare.gov, AARP, Boomer Benefits, Kiplinger",10,competitor-landscape §5,n
retiring-early-before-65,Retiring Before 65? Bridging to Medicare with ACA in 2026,,,,,slight,high,n,1,"healthinsurance.org Norris, Kiplinger, Fidelity",10,competitor-landscape §5,n
spouse-died,Spouse Died? Health Insurance Options for Widows/Widowers 2026,,,,,slight,low,n,1,"Healthcare.gov, SSA, AARP",9,manual brainstorm,n
just-quit-job,Just Quit Your Job? Voluntary Quit and Health Insurance 2026,,,,,slight,medium,n,1,"Healthcare.gov, DOL, Norris",9,manual brainstorm,n
just-hired,Just Hired? Decoding Employer Health Insurance Offer in 2026,,,,,slight,medium,n,2,"SHRM, NerdWallet, KFF",8,manual brainstorm,n
switching-jobs,Switching Jobs in 2026? Bridging Health Insurance Between Roles,,,,,slight,medium,n,1,"Norris, KFF, NerdWallet",9,manual brainstorm,n
gig-worker-transition,Going 1099? Switching from W-2 to Self-Employed Coverage 2026,,,,,slight,medium,n,1,"Stride, Catch, Norris, BenAvest",9,competitor-landscape §5/6 overlap,n
going-part-time,Going Part-Time? Losing Employer Coverage Path in 2026,,,,,slight,medium,n,2,"Norris, KFF, NerdWallet",8,manual brainstorm,n
just-graduated,Just Graduated 2026? Health Insurance Off College/Parent Plan,,,,,slight,medium,y,1,"Norris, NerdWallet, Verywell",9,manual brainstorm,n
plan-canceled-2026,Plan Canceled or Insurer Left Market? Your 2026 SEP,,,,,slight,medium,y,1,"Healthcare.gov, KFF, Norris",8,competitor-landscape,n
lost-subsidy,Lost Your ACA Subsidy in 2026? Income Change SEP Path,,,,,slight,low,n,1,"Healthcare.gov, Norris, KFF",9,competitor-landscape §5,n
income-drop-aca,Income Dropped Mid-Year? Updating ACA Subsidies in 2026,,,,,heavy,medium,n,2,"Healthcare.gov, KFF, Norris",9,BUSA life-events/income-drop dupe,n
income-jump-aca,Income Spiked Mid-Year? Avoiding ACA Subsidy Clawback in 2026,,,,,slight,low,n,1,"Healthcare.gov, IRS Form 8962, KFF",9,manual brainstorm,n
became-disabled,Became Disabled? Health Insurance + SSDI Path in 2026,,,,,heavy,low,n,3,"SSA, Medicare.gov, KFF",8,BUSA life-events/became-disabled dupe,n
ssdi-medicare-24-month,Approved for SSDI? The 24-Month Medicare Wait Explained 2026,,,,,slight,low,n,1,"SSA, Medicare.gov, AARP, KFF",9,manual brainstorm,n
end-stage-renal-disease,Diagnosed with ESRD/Kidney Failure? Medicare Under 65 in 2026,,,,,none,low,n,2,"Medicare.gov, NKF, CMS",8,manual brainstorm,n
als-medicare,Diagnosed with ALS? Immediate Medicare Eligibility 2026,,,,,none,low,n,2,"Medicare.gov, ALS Association",8,manual brainstorm,n
cancer-diagnosis,Cancer Diagnosis? Health Insurance + Charity Care Path 2026,,,,,none,low,n,2,"ACS, NCI, KFF, Healthcare.gov",8,manual brainstorm,n
diabetes-new-diagnosis,New Diabetes Diagnosis? Coverage and Drug Costs in 2026,,,,,none,low,n,2,"ADA, Norris, GoodRx",7,manual brainstorm,n
chronic-condition-coverage,Newly Diagnosed Chronic Condition? Choosing Coverage 2026,,,,,none,low,n,2,"Healthline, KFF, Norris",7,manual brainstorm,n
caregiver-aging-parent,Becoming a Caregiver for Aging Parent? Health Coverage Help 2026,,,,,heavy,low,n,3,"AARP, Medicare.gov, NIA",7,BUSA life-events/caring-for-aging-parent dupe,n
adopting-child,Adopting a Child in 2026? Adding to Health Insurance SEP,,,,,slight,low,n,2,"Healthcare.gov /sep, AdoptUSKids",8,manual brainstorm,n
foster-parent,Becoming a Foster Parent? Health Insurance Path 2026,,,,,slight,low,y,3,"AdoptUSKids, state foster sites",7,manual brainstorm,n
legal-guardian,Became a Legal Guardian? Adding Dependents to Health Plan 2026,,,,,none,low,n,3,"Healthcare.gov, NerdWallet",6,manual brainstorm,n
moving-international,Moving Abroad 2026? Ending US Health Coverage,,,,,none,low,n,3,"State.gov, Cigna Global, Norris",6,manual brainstorm,n
returning-from-abroad,Returning to US from Abroad? Restoring Health Insurance 2026,,,,,heavy,low,n,3,"State.gov, Norris, healthinsurance.org",6,BUSA returning-from-abroad dupe,n
new-citizen-status,Became a US Citizen? ACA + Medicaid Eligibility Reset 2026,,,,,slight,low,n,2,"Healthcare.gov, USCIS, NILC",8,manual brainstorm,n
green-card-coverage,Just Got Green Card? Health Insurance 5-Year Bar Explained 2026,,,,,slight,low,n,1,"NILC, KFF, Healthcare.gov",9,manual brainstorm,n
daca-coverage-2026,DACA Recipient Health Insurance 2026: Final Rule Status,,,,,slight,low,n,1,"Healthcare.gov, NILC, KFF",9,manual brainstorm + news-cycle,n
asylum-refugee-coverage,Asylee/Refugee Health Insurance Options 2026,,,,,none,low,n,3,"ORR, NILC, HHS",6,manual brainstorm,n
leaving-military,Leaving Military Service 2026? Health Insurance After TRICARE,,,,,none,low,n,2,"TRICARE, VA, DOL",8,manual brainstorm,n
tricare-to-aca,TRICARE Ending? Bridging to ACA Marketplace in 2026,,,,,none,low,n,2,"TRICARE, Healthcare.gov, MOAA",8,manual brainstorm,n
va-eligibility-starting,Becoming VA-Eligible? Pairing with Medicare/ACA in 2026,,,,,none,low,n,2,"VA.gov, Medicare.gov",7,manual brainstorm,n
turning-19-chip,Child Turning 19? Aging Off CHIP and Next Steps 2026,,,,,heavy,low,y,3,"CMS InsureKidsNow, KFF",6,BUSA benefits-ending-at-19 dupe,n
turning-21-foster,Turning 21 in Foster Care? Medicaid Until 26 Explained 2026,,,,,slight,low,y,2,"CMS, Medicaid.gov, ACF",7,manual brainstorm,n
turning-30-ny,Turning 30 in New York? Aging Off Parent Plan State Extension,,,,,slight,low,y,2,"NY Dept of Financial Services, Norris",7,state-extension fork,n
turning-30-nj,Turning 30 in New Jersey? Aging Off Parent Plan Until 31,,,,,slight,low,y,2,"NJ DOBI, Norris",7,state-extension fork,n
turning-50-preventive,Turning 50 2026? New Preventive Care You're Now Eligible For,,,,,none,low,n,3,"USPSTF, CDC, KFF",6,manual brainstorm,n
turning-64-pre-medicare,Turning 64? Your Pre-Medicare Year Checklist 2026,,,,,none,low,n,2,"Medicare.gov, SSA, Boomer Benefits",8,manual brainstorm,n
turning-66-ssa,Turning 66/67? Full Retirement Age and Medicare in 2026,,,,,none,low,n,3,"SSA, AARP, Medicare.gov",7,manual brainstorm,n
turning-70-rmd,Turning 73? RMDs + HSA Rules and Health Insurance 2026,,,,,none,low,n,3,"IRS, AARP, Fidelity",6,manual brainstorm,n
kids-leaving-home,Kids Leaving Home? Adjusting Family Health Coverage 2026,,,,,none,low,n,3,"Healthcare.gov, NerdWallet",6,manual brainstorm,n
empty-nest-downgrade,Empty Nest 2026? Downgrading to Couple ACA Plan,,,,,none,low,n,3,"Norris, NerdWallet",5,manual brainstorm,n
medicare-disability-under-65,Under 65 with Disability? Medicare Eligibility Path 2026,,,,,slight,low,n,1,"SSA, Medicare.gov, CMS, KFF",9,manual brainstorm,n
ira-part-d-2000-cap,IRA $2000 Out-of-Pocket Drug Cap 2026: What Changes for You,,,,,none,low,n,1,"Medicare.gov, CMS, KFF, AARP",10,news-cycle 2026,n
aca-subsidy-cliff-2026,ACA Subsidy Cliff Returns 2026? Plan Now for 2027,,,,,none,low,n,1,"KFF, CBPP, Norris, Healthcare.gov",10,news-cycle 2026,n
short-term-plan-ending,Short-Term Health Plan Ending? Transitioning to ACA 2026,,,,,none,low,n,2,"Healthcare.gov, KFF, Norris",7,manual brainstorm,n
sharing-ministry-ending,Health Sharing Ministry Ending? ACA Backup Path 2026,,,,,none,low,n,3,"KFF, Norris, Verywell",6,manual brainstorm,n
incarceration-release,Released from Incarceration 2026? Medicaid + ACA Path,,,,,none,low,y,2,"CMS reentry, KFF, ACLU",8,manual brainstorm (CMS reentry waiver news),n
incarceration-entering,Entering Jail/Prison? What Happens to Medicaid in 2026,,,,,none,low,y,3,"CMS, KFF",6,manual brainstorm,n
homeless-coverage,Experiencing Homelessness? Medicaid + ACA Access in 2026,,,,,slight,low,y,3,"HUD, NHCHC, KFF",6,manual brainstorm,n
domestic-violence-survivor,Domestic Violence Survivor? Health Insurance SEP 2026,,,,,none,low,n,3,"Healthcare.gov SEP exceptional circumstance, NDVH",7,manual brainstorm,n
natural-disaster-sep,Natural Disaster in Your State? FEMA SEP Health Insurance 2026,,,,,none,low,y,2,"FEMA, Healthcare.gov SEP, CMS",8,manual brainstorm,n
exceptional-circumstance-sep,Exceptional Circumstance SEP 2026: When You Qualify Outside Standard Triggers,,,,,none,low,n,2,"Healthcare.gov, Norris, KFF",7,manual brainstorm,n
moved-from-medicare-advantage,Moving Out of Your MA Plan Service Area 2026: Your SEP,,,,,none,medium,n,2,"Medicare.gov, MedicareFaq",7,manual brainstorm,n
ma-plan-leaving-market,MA Plan Leaving Your County 2026? Switch Options Explained,,,,,none,medium,n,2,"Medicare.gov, CMS, KFF",8,manual brainstorm,n
medigap-guaranteed-issue,Lost Group Coverage at 65? Medigap Guaranteed Issue Rights 2026,,,,,none,low,y,1,"Medicare.gov, NAIC, Boomer",9,manual brainstorm,n
medicare-late-enrollment,Missed Medicare Initial Enrollment 2026? Penalties + Fix,,,,,heavy,medium,n,2,"Medicare.gov, KFF, Boomer",9,medicare-explainer CU-113 queued,queued
medicare-disenrollment-period,Medicare Disenrollment Period (Jan-Feb) 2026: Switching Back to Original,,,,,none,low,n,3,"Medicare.gov, MedicareFaq",6,manual brainstorm,n
turning-65-cobra-decision,Turning 65 on COBRA? You Must Enroll in Medicare 2026,,,,,slight,medium,n,1,"Medicare.gov, SSA, CMS, Boomer",10,medicare-explainer CU-108 queued,queued
turning-65-on-aca,Turning 65 on ACA Marketplace 2026? Transition to Medicare,,,,,none,medium,n,1,"Medicare.gov, Healthcare.gov, Norris",9,manual brainstorm,n
turning-65-still-on-parents,Turning 65 While on Spouse's Employer Plan 2026,,,,,none,low,n,2,"Medicare.gov, SHRM",7,manual brainstorm,n
medicare-iep-2026,Medicare Initial Enrollment Period 2026: 7-Month Window Explained,,,,,slight,medium,n,1,"Medicare.gov, SSA, Boomer",9,manual brainstorm,n
medicare-gep-2026,Medicare General Enrollment Period (Jan-Mar) 2026: For Late Enrollees,,,,,slight,medium,n,2,"Medicare.gov, CMS",7,manual brainstorm,n
medicare-sep-2026,Medicare Special Enrollment Periods 2026: Every Trigger Explained,,,,,slight,medium,n,1,"Medicare.gov, CMS, KFF",9,manual brainstorm,n
medicaid-expansion-new-state,New Medicaid Expansion in Your State 2026? Who Just Got Eligible,,,,,none,low,y,1,"KFF tracker, CMS, Medicaid.gov",9,news-cycle (NC went live 2023; track 2026 expansion states),n
medicaid-work-requirement-new,New Medicaid Work Requirement 2026? Compliance Path,,,,,none,low,y,1,"KFF, CMS, Georgetown CCF",9,news-cycle 2026,n
turning-26-california,Turning 26 in California 2026? Aging Off Parent Plan,,,,,slight,medium,y,1,"Covered California, NAIC",8,state fork (CA),n
turning-26-texas,Turning 26 in Texas 2026? Aging Off Parent Plan,,,,,slight,medium,y,2,"Healthcare.gov, TDI",7,state fork (TX),n
turning-26-new-york,Turning 26 in New York 2026? Age-29 Extension Explained,,,,,slight,medium,y,1,"NY DFS, NY State of Health",8,state fork (NY age-29),n
turning-26-florida,Turning 26 in Florida 2026? Aging Off Parent Plan to Age 30,,,,,slight,medium,y,2,"FL OIR, Healthcare.gov",7,state fork (FL extension to 30),n
turning-26-pennsylvania,Turning 26 in Pennsylvania 2026? Aging Off Parent Plan,,,,,slight,medium,y,2,"Pennie, PA Insurance Dept",7,state fork,n
turning-26-illinois,Turning 26 in Illinois 2026? Aging Off Parent Plan,,,,,slight,medium,y,2,"Get Covered IL, IL DOI",7,state fork (IL military dependent rule),n
turning-26-massachusetts,Turning 26 in Massachusetts 2026? Aging Off to Age 26 + ConnectorCare,,,,,slight,medium,y,2,"MA Health Connector, DOI",7,state fork,n
turning-26-new-jersey,Turning 26 in New Jersey 2026? Age-31 Dependent Extension,,,,,slight,low,y,1,"NJ DOBI, GetCoveredNJ",8,state fork (NJ age-31),n
turning-26-georgia,Turning 26 in Georgia 2026? Aging Off Parent Plan,,,,,slight,low,y,3,"Healthcare.gov, GA OCI",6,state fork,n
turning-26-ohio,Turning 26 in Ohio 2026? Ohio Age-28 Dependent Rule,,,,,slight,low,y,2,"OH Dept of Insurance, Healthcare.gov",7,state fork (OH age-28),n
moved-to-california,Moved to California 2026? Switching to Covered California,,,,,slight,medium,y,1,"Covered California, DHCS Medi-Cal",9,state fork (move-to),n
moved-to-texas,Moved to Texas 2026? Switching Health Insurance + SEP,,,,,slight,medium,y,1,"Healthcare.gov, TDI",8,state fork,n
moved-to-new-york,Moved to New York 2026? NY State of Health SEP,,,,,slight,medium,y,1,"NY State of Health, NY DFS",8,state fork,n
moved-to-florida,Moved to Florida 2026? Healthcare.gov Switch + Medicaid Rules,,,,,slight,medium,y,1,"Healthcare.gov, AHCA",8,state fork,n
moved-to-pennsylvania,Moved to Pennsylvania 2026? Switching to Pennie,,,,,slight,low,y,2,"Pennie, PA DHS",7,state fork,n
lost-job-california,Lost Job in California 2026? Covered California + Cal-COBRA SEP,,,,,slight,medium,y,1,"Covered California, DMHC Cal-COBRA",9,state fork (Cal-COBRA mini),n
lost-job-texas,Lost Job in Texas 2026? Healthcare.gov + State Continuation Rules,,,,,slight,medium,y,2,"Healthcare.gov, TDI continuation",7,state fork,n
lost-job-new-york,Lost Job in New York 2026? NY State of Health + Mini-COBRA,,,,,slight,medium,y,2,"NY State of Health, NY DFS",7,state fork (NY mini-COBRA 36mo),n
lost-job-illinois,Lost Job in Illinois 2026? Get Covered IL + Continuation,,,,,slight,medium,y,3,"Get Covered IL, IL DOI",6,state fork,n
lost-job-florida,Lost Job in Florida 2026? Healthcare.gov + Mini-COBRA Rules,,,,,slight,medium,y,3,"Healthcare.gov, FL OIR",6,state fork,n
medicaid-unwinding-california,Lost Medi-Cal in 2026 Renewal? Your Next Steps,,,,,slight,medium,y,1,"DHCS, Covered California",9,state fork (Medicaid unwinding),n
medicaid-unwinding-texas,Lost Texas Medicaid in 2026 Renewal? Your Next Steps,,,,,slight,medium,y,1,"HHSC Texas, Healthcare.gov",8,state fork,n
medicaid-unwinding-florida,Lost Florida Medicaid in 2026 Renewal? Your Next Steps,,,,,slight,medium,y,1,"AHCA, Florida KidCare, Healthcare.gov",8,state fork,n
medicaid-unwinding-new-york,Lost NY Medicaid in 2026 Renewal? Switching to Essential Plan,,,,,slight,medium,y,1,"NY State of Health, DOH",9,state fork (Essential Plan pivot),n
pregnant-medicaid-california,Pregnant in California 2026? Medi-Cal for Pregnancy 213% FPL,,,,,slight,medium,y,1,"DHCS, Covered California",9,state fork (pregnancy Medicaid),n
pregnant-medicaid-texas,Pregnant in Texas 2026? Healthy Texas Women + CHIP-P Pathway,,,,,slight,medium,y,2,"HHSC, Texas Medicaid",7,state fork,n
pregnant-medicaid-florida,Pregnant in Florida 2026? Medicaid for Pregnancy 196% FPL,,,,,slight,medium,y,2,"AHCA, Florida KidCare",7,state fork,n
pregnant-medicaid-new-york,Pregnant in New York 2026? Medicaid + Essential Plan Pregnancy Path,,,,,slight,medium,y,2,"NY State of Health, DOH",7,state fork,n
documents-needed-sep,Documents You Need for Special Enrollment 2026: Full Checklist,,,,,none,low,n,1,"Healthcare.gov DMI, Norris",9,competitor-landscape §5 documents-needed,n
sep-60-day-window,SEP 60-Day Window 2026: When the Clock Starts for Each Trigger,,,,,none,low,n,1,"Healthcare.gov, CMS",9,manual brainstorm,n
sep-coverage-start-date,When SEP Coverage Starts 2026: First-of-Month vs Birth Rules,,,,,none,low,n,2,"Healthcare.gov, CMS",7,manual brainstorm,n
sep-denied-appeal,SEP Denied 2026? Appeal Process and Marketplace Backup,,,,,none,low,n,2,"Healthcare.gov appeals, CMS",7,manual brainstorm,n
exceeded-income-cap-2026,Income Exceeded 400% FPL 2026? Subsidy Cliff Survival Guide,,,,,none,low,n,1,"KFF, Norris, IRS",9,news-cycle 2026 subsidy cliff,n
under-100-fpl-non-expansion,Under 100% FPL in Non-Expansion State 2026? Coverage Gap Options,,,,,slight,low,y,1,"KFF, Healthcare.gov, KIDS COUNT",9,manual brainstorm (coverage gap),n
ssa-disability-approved,SSA Disability Approved 2026? What Happens to Your Health Insurance,,,,,slight,low,n,1,"SSA, Medicare.gov, KFF",9,manual brainstorm,n
divorced-over-65,Divorced Over 65 in 2026? Medicare + Spousal Benefits Reset,,,,,slight,low,n,2,"Medicare.gov, SSA, AARP",7,manual brainstorm,n
widow-over-65,Widow/Widower Over 65 in 2026? Medicare + Survivor Benefits,,,,,slight,low,n,2,"SSA, Medicare.gov, AARP",7,manual brainstorm,n
spouse-on-medicare-you-not,Spouse Just Turned 65? Health Insurance for the Non-Medicare Spouse 2026,,,,,none,low,n,1,"Medicare.gov, Healthcare.gov, KFF",9,manual brainstorm,n
new-job-employer-waiting-period,Started New Job 2026? Bridging the Employer Waiting Period,,,,,none,low,n,2,"DOL, KFF, Norris",7,manual brainstorm,n
employer-dropping-coverage,Employer Just Dropped Coverage 2026? Your SEP Triggers,,,,,none,low,n,1,"Healthcare.gov SEP, KFF, DOL",9,manual brainstorm,n
hra-offered,Employer Offered an HRA/QSEHRA/ICHRA 2026? What to Do,,,,,none,low,n,2,"IRS, SHRM, KFF",7,manual brainstorm,n
became-eligible-for-employer,Just Became Eligible for Employer Plan 2026? Drop Marketplace?,,,,,none,low,n,2,"Healthcare.gov, KFF",6,manual brainstorm,n
medi-share-to-aca-2026,Christian Health Sharing to ACA in 2026: Why People Are Switching,,,,,none,low,n,3,"KFF, Norris, Verywell",6,manual brainstorm,n
covid-long-haul-coverage,Long COVID Diagnosis 2026? Coverage and SSDI Path,,,,,none,low,n,3,"CDC, SSA, KFF",6,manual brainstorm,n
mental-health-diagnosis-coverage,New Mental Health Diagnosis 2026? Parity Coverage Rules,,,,,none,low,n,2,"DOL MHPAEA, NAMI, KFF",7,manual brainstorm,n
substance-use-treatment-coverage,Entering Substance Use Treatment 2026? Coverage Rules,,,,,none,low,n,3,"SAMHSA, KFF",6,manual brainstorm,n
gender-affirming-care-coverage,Coming Out as Transgender 2026? Coverage and Plan Selection,,,,,none,low,n,3,"HRC, NCTE, KFF",6,manual brainstorm,n
married-spouse-different-state,Married Spouse in Different State 2026? Health Plan Strategy,,,,,none,low,y,3,"Healthcare.gov, KFF",6,manual brainstorm,n
married-spouse-employer-plan,Marriage SEP 2026: Joining Spouse's Employer Plan (30-Day Rule),,,,,none,low,n,1,"DOL HIPAA, SHRM, IRS",9,manual brainstorm,n
married-both-have-coverage,Both Spouses Have Coverage 2026? Coordination of Benefits Decisions,,,,,none,low,n,2,"NAIC, KFF",6,manual brainstorm,n
foster-child-medicaid,Took In a Foster Child 2026? Medicaid for Foster Youth,,,,,none,low,y,2,"ACF, CMS, Medicaid.gov",7,manual brainstorm,n
kinship-care-medicaid,Took In a Grandchild/Relative 2026? Kinship Care Medicaid Path,,,,,none,low,y,3,"ACF, GrandFamilies",6,manual brainstorm,n
turning-19-medicaid-loss,Child Turning 19 in 2026? Medicaid Coverage Changes,,,,,heavy,low,y,3,"CMS, Medicaid.gov",6,BUSA benefits-ending-at-19 dupe,n
exiting-extended-foster-care,Aging Out of Extended Foster Care 2026? Medicaid Until 26,,,,,slight,low,y,2,"CMS Section 1002 ACA, ACF",7,manual brainstorm,n
nursing-home-medicaid,Entering a Nursing Home 2026? Medicaid Long-Term Care Path,,,,,slight,low,y,2,"CMS LTC, Medicaid.gov, AARP",7,manual brainstorm,n
hospice-medicare,Entering Hospice 2026? Medicare Hospice Benefit Explained,,,,,none,low,n,2,"Medicare.gov, NHPCO",6,manual brainstorm,n
home-purchase-hsa,Bought a House 2026? HSA + Health Insurance Tax Strategy,,,,,none,low,n,3,"IRS Pub 969, NerdWallet",6,manual brainstorm,n
inherited-windfall,Inherited Money 2026? Medicaid Asset Limits and Spend-Down,,,,,none,low,y,2,"Medicaid.gov, AARP",7,manual brainstorm,n
won-lottery,Won the Lottery 2026? Losing Medicaid + Subsidy Implications,,,,,none,low,n,3,"Medicaid.gov, IRS",5,manual brainstorm,n
emancipated-minor,Emancipated Minor 2026? Health Insurance Without Parents,,,,,none,low,y,3,"Healthcare.gov, ACF",6,manual brainstorm,n
graduating-medical-school,Graduating Med School 2026? Resident Health Insurance Path,,,,,none,low,n,3,"AAMC, GME programs",5,manual brainstorm,n
international-student-becoming-resident,International Student Becoming Resident 2026? Health Insurance Path,,,,,none,low,n,3,"USCIS, Healthcare.gov",5,manual brainstorm,n
plan-renewal-letter,Got a Plan Renewal Letter 2026? Auto-Renew vs Switching,,,,,none,low,n,1,"Healthcare.gov, KFF, Norris",9,manual brainstorm (high-frequency annual moment),n
plan-rate-increase,Premium Went Up at Renewal 2026? Your Options,,,,,none,low,n,1,"Healthcare.gov, KFF, Norris",8,manual brainstorm,n
out-of-network-doctor,Your Doctor Left Network 2026? Plan-Change Options,,,,,none,low,n,2,"Healthcare.gov SEP, NAIC",7,manual brainstorm,n
formulary-change,Plan Dropped Your Drug from Formulary 2026? Next Steps,,,,,none,low,n,2,"GoodRx, Medicare.gov, Norris",7,manual brainstorm,n
mid-year-plan-cancel,Want to Cancel Mid-Year 2026? Rules for Each Plan Type,,,,,none,low,n,3,"Healthcare.gov, KFF",6,manual brainstorm,n
breastfeeding-coverage,Just Started Breastfeeding 2026? ACA Coverage Rules,,,,,none,low,n,3,"Healthcare.gov, USPSTF",6,manual brainstorm,n
fertility-treatment-coverage,Starting Fertility Treatment 2026? Coverage by State,,,,,none,low,y,3,"Resolve.org, NCSL, KFF",7,manual brainstorm,n
gastric-surgery-coverage,Approved for Bariatric Surgery 2026? Coverage Requirements,,,,,none,low,n,3,"ASMBS, KFF",6,manual brainstorm,n
elder-care-medicaid-spend-down,Parent Entering Long-Term Care 2026? Medicaid Spend-Down Path,,,,,slight,low,y,2,"AARP, Medicaid.gov, NHeLP",7,manual brainstorm,n
veteran-turning-65,Veteran Turning 65 2026? VA + Medicare Together,,,,,none,low,n,2,"VA.gov, Medicare.gov",7,manual brainstorm,n
military-deployment-spouse,Spouse Deployed 2026? TRICARE Rules + ACA Backup,,,,,none,low,n,3,"TRICARE, MOAA",6,manual brainstorm,n
fpl-update-2026-january,2026 Federal Poverty Level Update: Who Just Became Subsidy-Eligible,,,,,none,low,n,1,"HHS, KFF, Norris",9,news-cycle annual,n
got-promoted-coverage,Got a Big Raise 2026? Subsidy Adjustment + Plan Strategy,,,,,none,low,n,2,"Healthcare.gov, IRS",7,manual brainstorm,n
business-started-2026,Started a Business 2026? Coverage Options + Self-Employed Deduction,,,,,none,medium,n,1,"IRS Pub 535, Stride, NerdWallet",8,manual brainstorm,n
business-closed-2026,Business Closed in 2026? Health Insurance After Self-Employment,,,,,none,low,n,2,"Healthcare.gov, Norris",7,manual brainstorm,n
home-state-disaster-2026,FEMA Major Disaster Declaration 2026? SEP + Medicaid Disaster Path,,,,,none,low,y,1,"FEMA, CMS 1135 waiver, KFF",9,news-cycle / annual hurricane season,n
