topic,title_hint,demand_score,bing_impressions_weekly,google_monthly_volume,medicare_enrollment_state,ma_penetration_state,busa_overlap,competitor_density,state_specific,priority,sources
medicare-advantage-georgia,Medicare Advantage Plans in Georgia 2026,9.4,420,2400,1900000,0.57,none,high,y,1,"NerdWallet GA page, MedicareGuide.com GA, US News GA, eHealth GA, KFF MA enrollment"
medicare-advantage-north-carolina,Medicare Advantage Plans in North Carolina 2026,9.4,410,2200,2050000,0.55,none,high,y,1,"NerdWallet NC page, MedicareGuide.com NC, US News NC, eHealth NC, KFF MA enrollment"
medicare-advantage-illinois,Medicare Advantage Plans in Illinois 2026,9.3,400,2100,2300000,0.55,none,high,y,1,"NerdWallet IL page, MedicareGuide.com IL, US News IL, eHealth IL, KFF MA enrollment"
medicare-advantage-virginia,Medicare Advantage Plans in Virginia 2026,8.9,380,1900,1480000,0.49,none,high,y,1,"NerdWallet VA page, MedicareGuide.com VA, US News VA, eHealth VA, KFF MA enrollment"
medicare-advantage-arizona,Medicare Advantage Plans in Arizona 2026,9.2,390,2000,1450000,0.56,none,high,y,1,"NerdWallet AZ page, MedicareGuide.com AZ, US News AZ, eHealth AZ, KFF MA enrollment"
medicare-advantage-tennessee,Medicare Advantage Plans in Tennessee 2026,9.1,370,1900,1380000,0.59,none,high,y,1,"NerdWallet TN page, MedicareGuide.com TN, US News TN, eHealth TN, KFF MA enrollment"
medicare-advantage-indiana,Medicare Advantage Plans in Indiana 2026,8.8,340,1700,1240000,0.50,none,high,y,1,"NerdWallet IN page, MedicareGuide.com IN, US News IN, eHealth IN, KFF MA enrollment"
medicare-advantage-missouri,Medicare Advantage Plans in Missouri 2026,8.7,330,1700,1230000,0.55,none,high,y,2,"NerdWallet MO page, MedicareGuide.com MO, US News MO, eHealth MO, KFF MA enrollment"
medicare-advantage-washington,Medicare Advantage Plans in Washington 2026,8.6,330,1700,1380000,0.49,none,high,y,2,"NerdWallet WA page, MedicareGuide.com WA, US News WA, eHealth WA, KFF MA enrollment, Kaiser WA-state strength"
medicare-advantage-massachusetts,Medicare Advantage Plans in Massachusetts 2026,8.4,310,1500,1230000,0.46,none,high,y,2,"NerdWallet MA page, MedicareGuide.com MA, US News MA, eHealth MA, KFF MA enrollment"
medicare-advantage-new-jersey,Medicare Advantage Plans in New Jersey 2026,8.7,340,1700,1640000,0.46,none,high,y,2,"NerdWallet NJ page, MedicareGuide.com NJ, US News NJ, eHealth NJ, KFF MA enrollment"
medicare-advantage-maryland,Medicare Advantage Plans in Maryland 2026,8.0,290,1400,1010000,0.41,none,high,y,2,"NerdWallet MD page, MedicareGuide.com MD, US News MD, eHealth MD, KFF MA enrollment"
medicare-advantage-wisconsin,Medicare Advantage Plans in Wisconsin 2026,8.5,310,1600,1240000,0.51,none,high,y,2,"NerdWallet WI page, MedicareGuide.com WI, US News WI, eHealth WI, KFF MA enrollment"
medicare-advantage-minnesota,Medicare Advantage Plans in Minnesota 2026,8.3,300,1500,1110000,0.55,none,high,y,2,"NerdWallet MN page, MedicareGuide.com MN, US News MN, eHealth MN, KFF MA enrollment"
medicare-advantage-colorado,Medicare Advantage Plans in Colorado 2026,8.4,310,1500,990000,0.49,none,high,y,2,"NerdWallet CO page, MedicareGuide.com CO, US News CO, eHealth CO, KFF MA enrollment, Kaiser CO"
medicare-advantage-south-carolina,Medicare Advantage Plans in South Carolina 2026,8.3,290,1500,1190000,0.55,none,high,y,2,"NerdWallet SC page, MedicareGuide.com SC, US News SC, eHealth SC, KFF MA enrollment"
medicare-advantage-alabama,Medicare Advantage Plans in Alabama 2026,8.2,280,1400,1100000,0.57,none,high,y,2,"NerdWallet AL page, MedicareGuide.com AL, US News AL, eHealth AL, KFF MA enrollment"
medicare-advantage-louisiana,Medicare Advantage Plans in Louisiana 2026,8.0,270,1300,880000,0.59,none,high,y,2,"NerdWallet LA page, MedicareGuide.com LA, US News LA, eHealth LA, KFF MA enrollment"
medicare-advantage-kentucky,Medicare Advantage Plans in Kentucky 2026,7.9,260,1300,945000,0.54,none,high,y,2,"NerdWallet KY page, MedicareGuide.com KY, US News KY, eHealth KY, KFF MA enrollment"
medicare-advantage-oregon,Medicare Advantage Plans in Oregon 2026,7.9,260,1300,860000,0.53,none,high,y,2,"NerdWallet OR page, MedicareGuide.com OR, US News OR, eHealth OR, KFF MA enrollment, Kaiser OR-NW"
medicare-advantage-connecticut,Medicare Advantage Plans in Connecticut 2026,7.7,240,1100,690000,0.46,none,high,y,2,"NerdWallet CT page, MedicareGuide.com CT, US News CT, eHealth CT, KFF MA enrollment"
medicare-advantage-oklahoma,Medicare Advantage Plans in Oklahoma 2026,7.5,230,1100,775000,0.49,none,high,y,2,"NerdWallet OK page, MedicareGuide.com OK, US News OK, eHealth OK, KFF MA enrollment"
medicare-advantage-utah,Medicare Advantage Plans in Utah 2026,7.3,210,1000,475000,0.48,none,medium,y,2,"NerdWallet UT page, MedicareGuide.com UT, US News UT, eHealth UT, KFF MA enrollment"
medicare-advantage-iowa,Medicare Advantage Plans in Iowa 2026,7.4,220,1100,650000,0.47,none,medium,y,2,"NerdWallet IA page, MedicareGuide.com IA, US News IA, eHealth IA, KFF MA enrollment"
medicare-advantage-arkansas,Medicare Advantage Plans in Arkansas 2026,7.3,210,1000,665000,0.51,none,medium,y,2,"NerdWallet AR page, MedicareGuide.com AR, US News AR, eHealth AR, KFF MA enrollment"
medicare-advantage-mississippi,Medicare Advantage Plans in Mississippi 2026,7.2,200,950,635000,0.52,none,medium,y,3,"NerdWallet MS page, MedicareGuide.com MS, US News MS, eHealth MS, KFF MA enrollment"
medicare-advantage-kansas,Medicare Advantage Plans in Kansas 2026,7.1,200,950,560000,0.43,none,medium,y,3,"NerdWallet KS page, MedicareGuide.com KS, US News KS, eHealth KS, KFF MA enrollment"
medicare-advantage-nevada,Medicare Advantage Plans in Nevada 2026,7.3,210,1100,565000,0.56,none,medium,y,3,"NerdWallet NV page, MedicareGuide.com NV, US News NV, eHealth NV, KFF MA enrollment"
medicare-advantage-new-mexico,Medicare Advantage Plans in New Mexico 2026,7.0,190,900,440000,0.55,none,medium,y,3,"NerdWallet NM page, MedicareGuide.com NM, US News NM, eHealth NM, KFF MA enrollment"
medicare-advantage-nebraska,Medicare Advantage Plans in Nebraska 2026,6.8,170,800,360000,0.39,none,medium,y,3,"NerdWallet NE page, MedicareGuide.com NE, US News NE, eHealth NE, KFF MA enrollment"
medicare-advantage-west-virginia,Medicare Advantage Plans in West Virginia 2026,6.9,180,850,440000,0.52,none,medium,y,3,"NerdWallet WV page, MedicareGuide.com WV, US News WV, eHealth WV, KFF MA enrollment"
medicare-advantage-idaho,Medicare Advantage Plans in Idaho 2026,6.7,170,800,360000,0.49,none,medium,y,3,"NerdWallet ID page, MedicareGuide.com ID, US News ID, eHealth ID, KFF MA enrollment"
medicare-advantage-hawaii,Medicare Advantage Plans in Hawaii 2026,6.8,170,800,275000,0.56,none,medium,y,3,"NerdWallet HI page, MedicareGuide.com HI, US News HI, eHealth HI, KFF MA enrollment, Kaiser HI strength"
medicare-advantage-new-hampshire,Medicare Advantage Plans in New Hampshire 2026,6.4,150,700,310000,0.34,none,medium,y,3,"NerdWallet NH page, MedicareGuide.com NH, US News NH, eHealth NH, KFF MA enrollment"
medicare-advantage-maine,Medicare Advantage Plans in Maine 2026,6.5,150,750,355000,0.48,none,medium,y,3,"NerdWallet ME page, MedicareGuide.com ME, US News ME, eHealth ME, KFF MA enrollment"
medicare-advantage-montana,Medicare Advantage Plans in Montana 2026,6.2,140,650,265000,0.43,none,medium,y,3,"NerdWallet MT page, MedicareGuide.com MT, US News MT, eHealth MT, KFF MA enrollment"
medicare-advantage-rhode-island,Medicare Advantage Plans in Rhode Island 2026,6.4,150,700,230000,0.49,none,medium,y,3,"NerdWallet RI page, MedicareGuide.com RI, US News RI, eHealth RI, KFF MA enrollment"
medicare-advantage-delaware,Medicare Advantage Plans in Delaware 2026,6.2,140,650,210000,0.36,none,medium,y,3,"NerdWallet DE page, MedicareGuide.com DE, US News DE, eHealth DE, KFF MA enrollment"
medicare-advantage-south-dakota,Medicare Advantage Plans in South Dakota 2026,5.9,120,550,195000,0.36,none,low,y,3,"NerdWallet SD page, MedicareGuide.com SD, US News SD, eHealth SD, KFF MA enrollment"
medicare-advantage-north-dakota,Medicare Advantage Plans in North Dakota 2026,5.7,110,500,140000,0.34,none,low,y,3,"NerdWallet ND page, MedicareGuide.com ND, US News ND, eHealth ND, KFF MA enrollment"
medicare-advantage-alaska,Medicare Advantage Plans in Alaska 2026,4.5,80,300,110000,0.02,none,low,y,3,"NerdWallet skips AK, MedicareGuide.com AK, US News AK, eHealth AK, KFF MA enrollment, AK has lowest MA penetration"
medicare-advantage-vermont,Medicare Advantage Plans in Vermont 2026,5.5,100,450,150000,0.27,none,low,y,3,"NerdWallet VT page, MedicareGuide.com VT, US News VT, eHealth VT, KFF MA enrollment"
medicare-advantage-district-of-columbia,Medicare Advantage Plans in Washington DC 2026,5.6,110,500,95000,0.49,none,low,y,3,"NerdWallet DC may skip, MedicareGuide.com DC, US News DC, eHealth DC, KFF MA enrollment, high penetration tiny population"
