topic,title_hint,demand_score,bing_impressions_weekly,google_monthly_volume,medicare_enrollment,ma_penetration,busa_overlap,competitor_density,state_specific,priority,sources,already_live,notes
georgia,Medicare Advantage Plans in Georgia 2026,9200,1500,8100,1750000,0.55,none,high,y,1,"CMS-State-County-Penetration-May2026,KFF-MA-2025-enrollment,KFF-2026-Spotlight,NerdWallet-GA,MedicareGuide-GA,US-News-GA,eHealth-GA",n,"Top Tier 1 — large MA shopper pool, Kaiser-GA defensible answer; partial Spanish opportunity in Atlanta metro"
north-carolina,Medicare Advantage Plans in North Carolina 2026,9100,1450,8100,2050000,0.55,none,high,y,1,"CMS-State-County-Penetration-May2026,KFF-MA-2025-enrollment,KFF-2026-Spotlight,NerdWallet-NC,MedicareGuide-NC,US-News-NC,eHealth-NC",n,"Largest total Medicare enrollment among unshipped states"
illinois,Medicare Advantage Plans in Illinois 2026,7900,1300,6600,2050000,0.50,none,high,y,1,"CMS-State-County-Penetration-May2026,KFF-MA-2025-enrollment,KFF-2026-Spotlight,NerdWallet-IL,MedicareGuide-IL,US-News-IL,eHealth-IL",n,"Penetration adjudicated to 50% (A had stale 41%, B had 55%); strong Chicago Spanish twin opportunity"
arizona,Medicare Advantage Plans in Arizona 2026,8800,1400,6600,1450000,0.56,none,high,y,1,"CMS-State-County-Penetration-May2026,KFF-MA-2025-enrollment,KFF-2026-Spotlight,NerdWallet-AZ,MedicareGuide-AZ,US-News-AZ,eHealth-AZ",n,"High Latino population — strong Spanish twin double-count via AI-citation surface"
tennessee,Medicare Advantage Plans in Tennessee 2026,8100,1250,5400,1340000,0.59,none,high,y,1,"CMS-State-County-Penetration-May2026,KFF-MA-2025-enrollment,KFF-2026-Spotlight,NerdWallet-TN,MedicareGuide-TN,US-News-TN,eHealth-TN",n,"Highest penetration in Tier 1 (59%); TennCare state brand"
virginia,Medicare Advantage Plans in Virginia 2026,7300,1100,5400,1500000,0.49,none,high,y,1,"CMS-State-County-Penetration-May2026,KFF-MA-2025-enrollment,KFF-2026-Spotlight,NerdWallet-VA,MedicareGuide-VA,US-News-VA,eHealth-VA",n,"DC-metro adjacency; penetration adjudicated to 49% (B)"
new-jersey,Medicare Advantage Plans in New Jersey 2026,8000,1300,5400,1550000,0.46,none,high,y,1,"CMS-State-County-Penetration-May2026,KFF-MA-2025-enrollment,KFF-2026-Spotlight,NerdWallet-NJ,MedicareGuide-NJ,US-News-NJ,eHealth-NJ",n,"Largest unshipped Northeast; Spanish opportunity"
indiana,Medicare Advantage Plans in Indiana 2026,6300,950,4400,1320000,0.50,none,high,y,1,"CMS-State-County-Penetration-May2026,KFF-MA-2025-enrollment,KFF-2026-Spotlight,NerdWallet-IN,MedicareGuide-IN,US-News-IN,eHealth-IN",n,"Adjudication win — A undervalued IN; ~660K MA shoppers; HIP state brand"
massachusetts,Medicare Advantage Plans in Massachusetts 2026,6900,1100,4400,1300000,0.46,none,high,y,1,"CMS-State-County-Penetration-May2026,KFF-MA-2025-enrollment,KFF-2026-Spotlight,NerdWallet-MA,MedicareGuide-MA,US-News-MA,eHealth-MA",n,"Big absolute pool, lower penetration; MA-vs-Medigap guaranteed-issue state"
washington,Medicare Advantage Plans in Washington 2026,6800,1050,4400,1420000,0.49,none,high,y,1,"CMS-State-County-Penetration-May2026,KFF-MA-2025-enrollment,KFF-2026-Spotlight,NerdWallet-WA,MedicareGuide-WA,US-News-WA,eHealth-WA",n,"Pacific NW lead; Kaiser-WA strength; MA-vs-Medigap guaranteed-issue state"
oregon,Medicare Advantage Plans in Oregon 2026,6700,950,3600,830000,0.53,none,high,y,2,"CMS-State-County-Penetration-May2026,KFF-MA-2025-enrollment,KFF-2026-Spotlight,NerdWallet-OR,MedicareGuide-OR,US-News-OR,eHealth-OR",n,"OHP state brand; MA-vs-Medigap guaranteed-issue state; pairs cleanly with WA in Pacific-NW Tier 2 batch"
missouri,Medicare Advantage Plans in Missouri 2026,6200,900,4400,1280000,0.55,none,high,y,2,"CMS-State-County-Penetration-May2026,KFF-MA-2025-enrollment,KFF-2026-Spotlight,NerdWallet-MO,MedicareGuide-MO,US-News-MO,eHealth-MO",n,"MA-vs-Medigap guaranteed-issue state"
maryland,Medicare Advantage Plans in Maryland 2026,5400,800,3600,1080000,0.41,none,high,y,2,"CMS-State-County-Penetration-May2026,KFF-MA-2025-enrollment,KFF-2026-Spotlight,NerdWallet-MD,MedicareGuide-MD,US-News-MD,eHealth-MD",n,"DC-metro pair with VA; Kaiser-MD applicable"
wisconsin,Medicare Advantage Plans in Wisconsin 2026,6700,1000,4400,1240000,0.51,none,high,y,2,"CMS-State-County-Penetration-May2026,KFF-MA-2025-enrollment,KFF-2026-Spotlight,NerdWallet-WI,MedicareGuide-WI,US-News-WI,eHealth-WI",n,"BadgerCare state brand"
minnesota,Medicare Advantage Plans in Minnesota 2026,6600,950,4400,1100000,0.55,none,high,y,2,"CMS-State-County-Penetration-May2026,KFF-MA-2025-enrollment,KFF-2026-Spotlight,NerdWallet-MN,MedicareGuide-MN,US-News-MN,eHealth-MN",n,"MNsure state brand"
connecticut,Medicare Advantage Plans in Connecticut 2026,5900,850,3600,680000,0.46,none,high,y,2,"CMS-State-County-Penetration-May2026,KFF-MA-2025-enrollment,KFF-2026-Spotlight,NerdWallet-CT,MedicareGuide-CT,US-News-CT,eHealth-CT",n,"MA-vs-Medigap guaranteed-issue state"
kentucky,Medicare Advantage Plans in Kentucky 2026,6000,850,3600,950000,0.54,none,high,y,2,"CMS-State-County-Penetration-May2026,KFF-MA-2025-enrollment,KFF-2026-Spotlight,NerdWallet-KY,MedicareGuide-KY,US-News-KY,eHealth-KY",n,""
louisiana,Medicare Advantage Plans in Louisiana 2026,5800,800,3600,890000,0.59,none,high,y,2,"CMS-State-County-Penetration-May2026,KFF-MA-2025-enrollment,KFF-2026-Spotlight,NerdWallet-LA,MedicareGuide-LA,US-News-LA,eHealth-LA",n,"High penetration (59%)"
alabama,Medicare Advantage Plans in Alabama 2026,6100,900,3600,1130000,0.57,none,high,y,2,"CMS-State-County-Penetration-May2026,KFF-MA-2025-enrollment,KFF-2026-Spotlight,NerdWallet-AL,MedicareGuide-AL,US-News-AL,eHealth-AL",n,"Penetration adjudicated to 57% (B)"
colorado,Medicare Advantage Plans in Colorado 2026,5500,800,3600,1010000,0.49,none,high,y,2,"CMS-State-County-Penetration-May2026,KFF-MA-2025-enrollment,KFF-2026-Spotlight,NerdWallet-CO,MedicareGuide-CO,US-News-CO,eHealth-CO",n,"Spanish bonus; CHP+ state brand; Kaiser-CO applicable"
arkansas,Medicare Advantage Plans in Arkansas 2026,4500,650,2400,690000,0.51,none,high,y,2,"CMS-State-County-Penetration-May2026,KFF-MA-2025-enrollment,KFF-2026-Spotlight,NerdWallet-AR,MedicareGuide-AR,US-News-AR,eHealth-AR",n,"ARHOME state brand"
south-carolina,Medicare Advantage Plans in South Carolina 2026,6300,900,3600,1180000,0.55,none,high,y,2,"CMS-State-County-Penetration-May2026,KFF-MA-2025-enrollment,KFF-2026-Spotlight,NerdWallet-SC,MedicareGuide-SC,US-News-SC,eHealth-SC",n,""
oklahoma,Medicare Advantage Plans in Oklahoma 2026,4200,600,2400,790000,0.49,none,high,y,2,"CMS-State-County-Penetration-May2026,KFF-MA-2025-enrollment,KFF-2026-Spotlight,NerdWallet-OK,MedicareGuide-OK,US-News-OK,eHealth-OK",n,"SoonerCare state brand"
nevada,Medicare Advantage Plans in Nevada 2026,4400,650,2400,610000,0.56,none,medium,y,3,"CMS-State-County-Penetration-May2026,KFF-MA-2025-enrollment,KFF-2026-Spotlight,NerdWallet-NV,MedicareGuide-NV,US-News-NV,eHealth-NV",n,"Spanish opportunity"
iowa,Medicare Advantage Plans in Iowa 2026,4400,650,2400,650000,0.47,none,medium,y,3,"CMS-State-County-Penetration-May2026,KFF-MA-2025-enrollment,KFF-2026-Spotlight,NerdWallet-IA,MedicareGuide-IA,US-News-IA,eHealth-IA",n,""
utah,Medicare Advantage Plans in Utah 2026,3600,500,1900,440000,0.48,none,medium,y,3,"CMS-State-County-Penetration-May2026,KFF-MA-2025-enrollment,KFF-2026-Spotlight,NerdWallet-UT,MedicareGuide-UT,US-News-UT,eHealth-UT",n,""
new-mexico,Medicare Advantage Plans in New Mexico 2026,3500,500,1600,470000,0.55,none,medium,y,3,"CMS-State-County-Penetration-May2026,KFF-MA-2025-enrollment,KFF-2026-Spotlight,NerdWallet-NM,MedicareGuide-NM,US-News-NM,eHealth-NM",n,"Spanish opportunity"
mississippi,Medicare Advantage Plans in Mississippi 2026,4000,550,1900,640000,0.52,none,medium,y,3,"CMS-State-County-Penetration-May2026,KFF-MA-2025-enrollment,KFF-2026-Spotlight,NerdWallet-MS,MedicareGuide-MS,US-News-MS,eHealth-MS",n,""
idaho,Medicare Advantage Plans in Idaho 2026,3700,500,1600,400000,0.49,none,medium,y,3,"CMS-State-County-Penetration-May2026,KFF-MA-2025-enrollment,KFF-2026-Spotlight,NerdWallet-ID,MedicareGuide-ID,US-News-ID,eHealth-ID",n,""
new-hampshire,Medicare Advantage Plans in New Hampshire 2026,2900,400,1300,320000,0.34,none,medium,y,3,"CMS-State-County-Penetration-May2026,KFF-MA-2025-enrollment,KFF-2026-Spotlight,NerdWallet-NH,MedicareGuide-NH,US-News-NH,eHealth-NH",n,""
maine,Medicare Advantage Plans in Maine 2026,3200,450,1600,360000,0.48,none,medium,y,3,"CMS-State-County-Penetration-May2026,KFF-MA-2025-enrollment,KFF-2026-Spotlight,NerdWallet-ME,MedicareGuide-ME,US-News-ME,eHealth-ME",n,"MaineCare state brand"
rhode-island,Medicare Advantage Plans in Rhode Island 2026,3300,450,1300,230000,0.49,none,medium,y,3,"CMS-State-County-Penetration-May2026,KFF-MA-2025-enrollment,KFF-2026-Spotlight,NerdWallet-RI,MedicareGuide-RI,US-News-RI,eHealth-RI",n,""
montana,Medicare Advantage Plans in Montana 2026,2400,350,1000,260000,0.43,none,medium,y,3,"CMS-State-County-Penetration-May2026,KFF-MA-2025-enrollment,KFF-2026-Spotlight,NerdWallet-MT,MedicareGuide-MT,US-News-MT,eHealth-MT",n,""
delaware,Medicare Advantage Plans in Delaware 2026,2600,350,1000,220000,0.36,none,medium,y,3,"CMS-State-County-Penetration-May2026,KFF-MA-2025-enrollment,KFF-2026-Spotlight,NerdWallet-DE,MedicareGuide-DE,US-News-DE,eHealth-DE",n,""
west-virginia,Medicare Advantage Plans in West Virginia 2026,3300,450,1300,460000,0.52,none,medium,y,3,"CMS-State-County-Penetration-May2026,KFF-MA-2025-enrollment,KFF-2026-Spotlight,NerdWallet-WV,MedicareGuide-WV,US-News-WV,eHealth-WV",n,""
hawaii,Medicare Advantage Plans in Hawaii 2026,3500,500,1300,290000,0.56,none,medium,y,3,"CMS-State-County-Penetration-May2026,KFF-MA-2025-enrollment,KFF-2026-Spotlight,NerdWallet-HI,MedicareGuide-HI,US-News-HI,eHealth-HI",n,"Kaiser-HI dominance"
nebraska,Medicare Advantage Plans in Nebraska 2026,3200,450,1600,360000,0.39,none,medium,y,3,"CMS-State-County-Penetration-May2026,KFF-MA-2025-enrollment,KFF-2026-Spotlight,NerdWallet-NE,MedicareGuide-NE,US-News-NE,eHealth-NE",n,""
kansas,Medicare Advantage Plans in Kansas 2026,3800,550,1900,540000,0.43,none,medium,y,3,"CMS-State-County-Penetration-May2026,KFF-MA-2025-enrollment,KFF-2026-Spotlight,NerdWallet-KS,MedicareGuide-KS,US-News-KS,eHealth-KS",n,""
dc,Medicare Advantage Plans in Washington DC 2026,1900,250,720,90000,0.49,none,medium,y,3,"CMS-State-County-Penetration-May2026,KFF-MA-2025-enrollment,KFF-2026-Spotlight,MedicareGuide-DC,US-News-DC,eHealth-DC",n,"Ship as 51st page late Tier 3; do not fold into MD/VA; competitor density genuinely drops (NerdWallet skips); 100% urban with commercial intent"
north-dakota,Medicare Advantage Plans in North Dakota 2026,1700,200,720,130000,0.34,none,low,y,3,"CMS-State-County-Penetration-May2026,KFF-MA-2025-enrollment,KFF-2026-Spotlight,NerdWallet-ND,MedicareGuide-ND,US-News-ND,eHealth-ND",n,""
south-dakota,Medicare Advantage Plans in South Dakota 2026,1800,250,720,170000,0.36,none,low,y,3,"CMS-State-County-Penetration-May2026,KFF-MA-2025-enrollment,KFF-2026-Spotlight,NerdWallet-SD,MedicareGuide-SD,US-News-SD,eHealth-SD",n,"KFF 2026: 4 plans available — state-quirk handler"
vermont,Medicare Advantage Plans in Vermont 2026,1400,200,590,140000,0.27,none,low,y,3,"CMS-State-County-Penetration-May2026,KFF-MA-2025-enrollment,KFF-2026-Spotlight,NerdWallet-VT,MedicareGuide-VT,US-News-VT,eHealth-VT",n,"KFF 2026: 1 plan available; ship dead-last; citation-surface play not conversion"
alaska,Medicare Advantage Plans in Alaska 2026,1100,150,480,110000,0.02,none,low,y,3,"CMS-State-County-Penetration-May2026,KFF-MA-2025-enrollment,KFF-2026-Spotlight,MedicareGuide-AK,US-News-AK,eHealth-AK",n,"KFF 2026: 0 plans available; ship dead-last; page narrative is ""MA barely exists, consider Medigap"""
