topic,title_hint,demand_score,bing_impressions_weekly,google_monthly_volume,utilization_rank,busa_overlap,competitor_density,state_specific,priority,sources,already_live,already_queued,notes
breast-biopsy-cost,"Breast Biopsy Cost Without Insurance in 2026: National Pricing Guide",13,0,0,56,none,medium,n,3,"clincalc",n,n,
tonsillectomy-cost,"Tonsillectomy Cost Without Insurance in 2026 (Adult + Child)",12,0,0,60,none,medium,n,2,"clincalc,goodrx,sidecar,cms,obvious-50",n,n,
gastric-sleeve-cost,"Gastric Sleeve Cost Without Insurance in 2026: Bariatric Surgery Pricing Guide",12,0,0,60,none,medium,n,3,"clincalc",n,n,
allergy-shots-cost,"Allergy Shots Cost Without Insurance in 2026: Immunotherapy Pricing Guide",12,0,0,61,none,medium,n,3,"clincalc",n,n,
lumpectomy-cost,"Lumpectomy Cost Without Insurance in 2026: National Pricing Guide",11,0,0,65,none,medium,n,3,"clincalc",n,n,
holter-monitor-cost,"Holter Monitor Cost Without Insurance in 2026: 24-Hour ECG Pricing Guide",11,0,0,65,none,medium,n,3,"clincalc",n,n,
prostate-biopsy-cost,"Prostate Biopsy Cost Without Insurance in 2026: National Pricing Guide",11,0,0,62,none,medium,n,3,"clincalc",n,n,
emg-cost,"EMG Cost Without Insurance in 2026: Electromyography & Nerve Conduction Pricing Guide",10,0,0,68,none,low,n,3,"clincalc",n,n,
thyroid-surgery-cost,"Thyroid Surgery Cost Without Insurance in 2026: Thyroidectomy Pricing Guide",10,0,0,67,none,medium,n,3,"clincalc",n,n,
gastric-bypass-cost,"Gastric Bypass Cost Without Insurance in 2026: Bariatric Surgery Pricing Guide",9,0,0,70,none,medium,n,3,"clincalc",n,n,
skin-tag-removal-cost,"Skin Tag Removal Cost Without Insurance in 2026: National Pricing Guide",9,0,0,71,none,medium,n,3,"clincalc",n,n,
sigmoidoscopy-cost,"Sigmoidoscopy Cost Without Insurance in 2026: National Pricing Guide",8,0,0,75,none,medium,n,3,"clincalc,goodrx,obvious-50",n,n,
tubal-ligation-cost,"Tubal Ligation Cost Without Insurance in 2026: National Pricing Guide",8,0,0,72,none,medium,n,3,"clincalc,plannedparenthood,obvious-50",n,n,
cystoscopy-cost,"Cystoscopy Cost Without Insurance in 2026: National Pricing Guide",8,0,0,73,none,low,n,3,"clincalc",n,n,
heart-bypass-cost,"Heart Bypass Surgery (CABG) Cost Without Insurance in 2026: National Pricing Guide",7,0,0,78,none,high,n,3,"clincalc,goodrx,kff,obvious-50",n,n,
inpatient-rehab-cost,"Inpatient Drug Rehab Cost Without Insurance in 2026: 30/60/90 Day Pricing Guide",7,0,0,78,slight,medium,n,2,"clincalc,obvious-50",n,n,"critique: BUSA slight overlap"
colposcopy-cost,"Colposcopy Cost Without Insurance in 2026: National Pricing Guide",7,0,0,76,none,low,n,3,"clincalc",n,n,
ear-tubes-cost,"Ear Tubes Surgery Cost Without Insurance in 2026: Tympanostomy Pricing Guide",7,0,0,77,none,medium,n,3,"clincalc",n,n,
rotator-cuff-surgery-cost,"Rotator Cuff Surgery Cost Without Insurance in 2026: National Pricing Guide",6,0,0,80,none,medium,n,3,"clincalc",n,n,
adenoidectomy-cost,"Adenoidectomy Cost Without Insurance in 2026: National Pricing Guide",6,0,0,79,none,low,n,3,"clincalc",n,n,
endometrial-ablation-cost,"Endometrial Ablation Cost Without Insurance in 2026: National Pricing Guide",6,0,0,81,none,low,n,3,"clincalc",n,n,
acl-surgery-cost,"ACL Surgery Cost Without Insurance in 2026: National Pricing Guide",5,0,0,85,none,medium,n,3,"clincalc",n,n,
spinal-tap-cost,"Spinal Tap (Lumbar Puncture) Cost Without Insurance in 2026: National Pricing Guide",5,0,0,82,none,low,n,3,"clincalc",n,n,
septoplasty-cost,"Septoplasty Cost Without Insurance in 2026: Deviated Septum Surgery Pricing Guide",5,0,0,84,none,medium,n,3,"clincalc",n,n,
meniscus-surgery-cost,"Meniscus Surgery Cost Without Insurance in 2026: National Pricing Guide",4,0,0,88,none,medium,n,3,"clincalc",n,n,
spinal-fusion-cost,"Spinal Fusion Surgery Cost Without Insurance in 2026: National Pricing Guide",3,0,0,90,none,medium,n,3,"clincalc,goodrx,kff,obvious-50",n,n,
pacemaker-cost,"Pacemaker Cost Without Insurance in 2026: National Pricing Guide",2,0,0,92,none,medium,n,3,"clincalc,goodrx,obvious-50",n,n,
mohs-surgery-cost,"Mohs Surgery Cost Without Insurance in 2026: Stages I-III Pricing Guide",,,,,none,medium,n,1,"goodrx,healthline,costhelper,acms-utilization-876K/yr,critique-add",n,n,"critique-add: 2026-05-15, ~876K procedures/yr, Medicare Part B angle"
cardiac-ablation-cost,"Cardiac Ablation Cost Without Insurance in 2026: AFib Catheter Ablation Pricing Guide",,,,,none,medium,n,1,"goodrx,healthline,utilization-500K/yr-AFib,critique-add",n,n,"critique-add: 2026-05-15, ~500K/yr, $25-80K self-pay"
lithotripsy-cost,"Lithotripsy Cost Without Insurance in 2026: Kidney Stone Removal Pricing Guide",,,,,none,medium,n,2,"goodrx,cura4u,billarmor,utilization-150K-ESWL/yr,critique-add",n,n,"critique-add: 2026-05-15, ER-followup query"
gender-affirming-care-cost,"Gender-Affirming Care Cost by State in 2026: Top Surgery, Bottom Surgery & HRT Pricing",,,,,none,medium,y,2,"goodrx,williams-institute,hhs,state-fork,critique-add",n,n,"critique-add: 2026-05-15, ~20 states restrict Medicaid; state-fork"
cmp-test-cost,"Comprehensive Metabolic Panel (CMP) Test Cost Without Insurance in 2026",,,,,none,low,n,2,"labcorp,quest,goodrx,critique-add",n,n,"critique-add: 2026-05-15, ER-bill line item"
bmp-test-cost,"Basic Metabolic Panel (BMP) Test Cost Without Insurance in 2026",,,,,none,low,n,3,"labcorp,quest,critique-add",n,n,"critique-add: 2026-05-15, ER-bill line item"
troponin-test-cost,"Troponin Test Cost Without Insurance in 2026: Cardiac Biomarker Pricing Guide",,,,,none,low,n,3,"labcorp,quest,critique-add",n,n,"critique-add: 2026-05-15, ER-bill cardiac line item"
d-dimer-test-cost,"D-Dimer Test Cost Without Insurance in 2026: DVT/PE Rule-Out Pricing Guide",,,,,none,low,n,3,"labcorp,quest,critique-add",n,n,"critique-add: 2026-05-15, ER-bill DVT/PE line item"
psychiatric-evaluation-cost,"Psychiatric Evaluation Cost Without Insurance in 2026",,,,,none,low,n,1,"goodrx,obvious-50",n,n,"B-only; thin field"
dental-filling-cost,"Dental Filling Cost Without Insurance in 2026",,,,,none,medium,n,1,"goodrx,carecredit,guardian,obvious-50",n,n,"B-only"
root-canal-cost,"Root Canal Cost Without Insurance in 2026",,,,,none,medium,n,1,"goodrx,carecredit,guardian,obvious-50",n,n,"B-only"
dental-crown-cost,"Dental Crown Cost Without Insurance in 2026",,,,,none,medium,n,1,"goodrx,carecredit,guardian,obvious-50",n,n,"B-only"
dental-extraction-cost,"Tooth Extraction Cost Without Insurance in 2026",,,,,none,medium,n,1,"goodrx,carecredit,guardian,obvious-50",n,n,"B-only"
std-test-cost,"STD Test Cost Without Insurance in 2026",,,,,none,low,n,1,"goodrx,plannedparenthood,obvious-50",n,n,"B-only; thin field, high-intent"
lipid-panel-cost,"Lipid Panel (Cholesterol Test) Cost Without Insurance in 2026",,,,,none,low,n,1,"goodrx,labcorp,quest,obvious-50",n,n,"B-only"
a1c-test-cost,"A1C Test Cost Without Insurance in 2026",,,,,none,low,n,1,"goodrx,labcorp,obvious-50",n,n,"B-only"
cbc-test-cost,"Complete Blood Count (CBC) Test Cost Without Insurance in 2026",,,,,none,low,n,2,"labcorp,quest,obvious-50",n,n,"B-only"
thyroid-test-cost,"Thyroid Function Test (TSH) Cost Without Insurance in 2026",,,,,none,low,n,2,"goodrx,labcorp,obvious-50",n,n,"B-only"
vitamin-d-test-cost,"Vitamin D Test Cost Without Insurance in 2026",,,,,none,low,n,2,"labcorp,obvious-50",n,n,"B-only"
prostate-psa-test-cost,"Prostate PSA Test Cost Without Insurance in 2026",,,,,none,low,n,1,"goodrx,obvious-50",n,n,"B-only"
well-woman-exam-cost,"Well-Woman Exam Cost Without Insurance in 2026",,,,,none,medium,n,2,"goodrx,plannedparenthood,obvious-50",n,n,"B-only"
annual-physical-cost,"Annual Physical Cost Without Insurance in 2026",,,,,none,medium,n,1,"goodrx,nerdwallet,obvious-50",n,n,"B-only"
skin-cancer-screening-cost,"Skin Cancer Screening Cost Without Insurance in 2026",,,,,none,low,n,2,"goodrx,obvious-50",n,n,"B-only"
dermatology-visit-cost,"Dermatology Visit Cost Without Insurance in 2026",,,,,none,medium,n,2,"goodrx,obvious-50",n,n,"B-only"
sleep-apnea-surgery-cost,"Sleep Apnea Surgery Cost Without Insurance in 2026",,,,,none,medium,n,3,"goodrx,obvious-50",n,n,"B-only"
cpap-machine-cost,"CPAP Machine Cost Without Insurance in 2026",,,,,none,medium,n,2,"goodrx,obvious-50",n,n,"B-only"
prenatal-care-cost,"Prenatal Care Cost Without Insurance in 2026",,,,,none,medium,n,2,"goodrx,kff,obvious-50",n,n,"B-only"
vasectomy-reversal-cost,"Vasectomy Reversal Cost Without Insurance in 2026",,,,,none,low,n,3,"obvious-50",n,n,"B-only"
gynecomastia-surgery-cost,"Gynecomastia Surgery Cost Without Insurance in 2026",,,,,none,medium,n,3,"goodrx,obvious-50",n,n,"B-only"
breast-augmentation-cost,"Breast Augmentation Cost Without Insurance in 2026",,,,,none,medium,n,3,"goodrx,obvious-50",n,n,"B-only"
heart-valve-replacement-cost,"Heart Valve Replacement Cost Without Insurance in 2026",,,,,none,high,n,3,"goodrx,obvious-50",n,n,"B-only"
angioplasty-cost,"Angioplasty / Stent Cost Without Insurance in 2026",,,,,none,medium,n,3,"goodrx,obvious-50",n,n,"B-only"
organ-transplant-cost,"Organ Transplant Cost Without Insurance in 2026",,,,,none,high,n,3,"medicare,unos,kff,obvious-50",n,n,"B-only umbrella"
mri-knee-cost,"Knee MRI Cost Without Insurance in 2026",,,,,none,medium,n,2,"goodrx,obvious-50",n,n,"B-only body-part fork"
mri-brain-cost,"Brain MRI Cost Without Insurance in 2026",,,,,none,medium,n,2,"goodrx,obvious-50",n,n,"B-only body-part fork"
mri-shoulder-cost,"Shoulder MRI Cost Without Insurance in 2026",,,,,none,medium,n,3,"goodrx,obvious-50",n,n,"B-only body-part fork"
mri-back-lumbar-cost,"Lumbar Spine MRI Cost Without Insurance in 2026",,,,,none,medium,n,3,"obvious-50",n,n,"B-only body-part fork"
ct-head-cost,"Head CT Scan Cost Without Insurance in 2026",,,,,none,medium,n,3,"goodrx,obvious-50",n,n,"B-only body-part fork"
ct-abdomen-cost,"Abdomen CT Scan Cost Without Insurance in 2026",,,,,none,medium,n,3,"goodrx,obvious-50",n,n,"B-only body-part fork"
dental-x-ray-cost,"Dental X-Ray Cost Without Insurance in 2026",,,,,none,low,n,3,"obvious-50",n,n,"B-only"
ultrasound-pregnancy-cost,"Pregnancy Ultrasound Cost Without Insurance in 2026",,,,,none,low,n,2,"goodrx,obvious-50",n,n,"B-only"
ultrasound-abdominal-cost,"Abdominal Ultrasound Cost Without Insurance in 2026",,,,,none,low,n,3,"obvious-50",n,n,"B-only"
endoscopic-ultrasound-cost,"Endoscopic Ultrasound Cost Without Insurance in 2026",,,,,none,low,n,3,"obvious-50",n,n,"B-only"
capsule-endoscopy-cost,"Capsule Endoscopy Cost Without Insurance in 2026",,,,,none,low,n,3,"obvious-50",n,n,"B-only"
ercp-cost,"ERCP Cost Without Insurance in 2026",,,,,none,low,n,3,"obvious-50",n,n,"B-only"
liver-biopsy-cost,"Liver Biopsy Cost Without Insurance in 2026",,,,,none,low,n,3,"obvious-50",n,n,"B-only"
abortion-cost,"Abortion Cost by State in 2026 (Pill + Procedure)",,,,,none,high,y,2,"plannedparenthood,kff,heyjane,obvious-50",n,n,"B-only; state-fork by law"
nexplanon-implant-cost,"Nexplanon Implant Cost Without Insurance in 2026",,,,,none,low,n,3,"goodrx,obvious-50",n,n,"B-only"
egg-freezing-cost,"Egg Freezing Cost Without Insurance in 2026",,,,,none,high,n,3,"fertilityiq,obvious-50",n,n,"B-only"
eyeglasses-cost,"Eyeglasses Cost Without Insurance in 2026 (Frames + Lenses)",,,,,none,medium,n,3,"obvious-50",n,n,"B-only"
contact-lenses-cost,"Contact Lenses Cost Without Insurance in 2026",,,,,none,medium,n,3,"obvious-50",n,n,"B-only"
hearing-test-cost,"Hearing Test Cost Without Insurance in 2026",,,,,none,low,n,1,"obvious-50",n,n,"B-only"
hearing-aids-cost,"Hearing Aid Cost Without Insurance in 2026 (OTC vs Prescription)",,,,,none,medium,n,2,"aarp,costco,obvious-50",n,n,"B-only"
shingles-vaccine-cost,"Shingles Vaccine (Shingrix) Cost Without Insurance in 2026",,,,,none,low,n,2,"singlecare,goodrx,cdc,obvious-50",n,n,"B-only"
tdap-vaccine-cost,"Tdap Vaccine Cost Without Insurance in 2026",,,,,none,low,n,3,"cdc,goodrx,obvious-50",n,n,"B-only"
hpv-vaccine-cost,"HPV Vaccine (Gardasil) Cost Without Insurance in 2026",,,,,none,low,n,2,"cdc,obvious-50",n,n,"B-only"
covid-booster-cost,"COVID Booster Cost Without Insurance in 2026",,,,,none,medium,n,2,"cdc,goodrx,obvious-50",n,n,"B-only"
pneumonia-vaccine-cost,"Pneumonia Vaccine Cost Without Insurance in 2026",,,,,none,low,n,3,"cdc,obvious-50",n,n,"B-only"
mri-with-contrast-cost,"MRI with Contrast Cost Without Insurance in 2026",,,,,none,medium,n,2,"goodrx,obvious-50",n,n,"B-only"
ct-with-contrast-cost,"CT Scan with Contrast Cost Without Insurance in 2026",,,,,none,medium,n,3,"goodrx,obvious-50",n,n,"B-only"
mental-health-iop-cost,"Intensive Outpatient Mental Health Program Cost Without Insurance in 2026",,,,,none,low,n,3,"obvious-50",n,n,"B-only"
inpatient-mental-health-cost,"Inpatient Mental Health (Psychiatric Hospital) Cost Without Insurance in 2026",,,,,slight,low,n,3,"obvious-50",n,n,"B-only; BUSA slight overlap"
dental-implant-cost,"Dental Implant Cost Without Insurance in 2026",,,,,none,medium,n,2,"carecredit,goodrx,obvious-50",n,n,"B-only"
dentures-cost,"Dentures Cost Without Insurance in 2026 (Full + Partial)",,,,,none,medium,n,2,"carecredit,obvious-50",n,n,"B-only"
braces-orthodontics-cost,"Braces and Orthodontics Cost Without Insurance in 2026 (Adult + Child)",,,,,none,high,n,3,"carecredit,smiledirect,obvious-50",n,n,"B-only"
invisalign-cost,"Invisalign Cost Without Insurance in 2026",,,,,none,high,n,3,"invisalign,obvious-50",n,n,"B-only"
oxygen-tank-home-cost,"Home Oxygen Tank Cost Without Insurance in 2026",,,,,none,low,n,3,"obvious-50",n,n,"B-only"
wheelchair-walker-cost,"Wheelchair and Walker Cost Without Insurance in 2026",,,,,none,low,n,3,"obvious-50",n,n,"B-only"
diabetes-supplies-cost,"Diabetes Test Strips and CGM Cost Without Insurance in 2026",,,,,none,medium,n,2,"goodrx,singlecare,obvious-50",n,n,"B-only"
home-health-visit-cost,"Home Health Aide Visit Cost Without Insurance in 2026",,,,,none,low,n,3,"obvious-50",n,n,"B-only"
nursing-home-day-cost,"Nursing Home Cost Per Day in 2026",,,,,none,medium,n,3,"genworth,aarp,obvious-50",n,n,"B-only"
hospice-care-cost,"Hospice Care Cost Without Insurance in 2026",,,,,none,low,n,3,"medicare,obvious-50",n,n,"B-only"
sprain-treatment-cost,"Sprain or Strain Treatment Cost Without Insurance in 2026",,,,,none,low,n,3,"obvious-50",n,n,"B-only"
