sheet_row,sheet_id,sheet_title,sheet_status,sheet_priority,classification,matched_template,matched_slug,recommended_action,confidence,notes
2,CU-001,How to Apply for Medicaid in 2026: Step-by-Step Guide,Ready,2,KEEP_AS_BLOG,,,"KEEP IN SHEET — narrative/news-cycle/listicle shape, not template-shape",0.80,Blog-shape title (narrative/listicle/hospital-specific/news angle)
3,CU-002,Medicaid Application Guide 2026: Everything You Need to Know,Low Priority,3,KEEP_AS_BLOG,,,"KEEP IN SHEET — narrative/news-cycle/listicle shape, not template-shape",0.80,Blog-shape title (narrative/listicle/hospital-specific/news angle)
6,CU-005,CHIP Eligibility Requirements 2026: Does Your Child Qualify?,Low Priority,3,REVIEW_NEEDED,qa,chip-eligibility-new-york,Review: looks like qa but jaccard only 0.63. Could keep as blog OR migrate.,0.63,Ambiguous match; needs human eyes
10,CU-009,Health Insurance Options When You Are Unemployed in 2026,Ready,2,REVIEW_NEEDED,persona,freelancers,Review: looks like persona but jaccard only 0.50. Could keep as blog OR migrate.,0.50,Ambiguous match; needs human eyes
11,CU-010,Health Insurance for College Students: Cheapest 2026 Options,Ready,2,REVIEW_NEEDED,event,graduated-college,Review: looks like event but jaccard only 0.56. Could keep as blog OR migrate.,0.56,Ambiguous match; needs human eyes
12,CU-011,Best Health Insurance for Self-Employed Workers in 2026,Ready,2,DROP_DUPE_EXISTING_PAGE,persona,self-employed,DELETE FROM SHEET (already shipped),0.90,Duplicates live persona page /self-employed (concept match)
13,CU-012,Medicaid Expansion States 2026: Full List and Coverage Details,Ready,2,KEEP_AS_BLOG_NO_TEMPLATE_MATCH,,,"KEEP IN SHEET — no template match, treat as blog",0.50,No template match found
14,CU-013,Medicare Enrollment Periods Explained: Deadlines and Penalties,Ready,2,KEEP_AS_BLOG_NO_TEMPLATE_MATCH,,,"KEEP IN SHEET — no template match, treat as blog",0.50,No template match found
16,CU-015,VA Healthcare Eligibility Requirements 2026: Who Qualifies?,Ready,2,KEEP_AS_BLOG,,,"KEEP IN SHEET — narrative/news-cycle/listicle shape, not template-shape",0.80,Blog-shape title (narrative/listicle/hospital-specific/news angle)
17,CU-016,Medicaid Income Limits by State 2026: Complete Chart,Ready,2,REVIEW_NEEDED,event,medicaid-pregnant-women-2026,Review: looks like event but jaccard only 0.56. Could keep as blog OR migrate.,0.56,Ambiguous match; needs human eyes
20,CU-019,Cheapest Health Insurance Options in 2026,Ready,2,REVIEW_NEEDED,persona,freelancers,Review: looks like persona but jaccard only 0.50. Could keep as blog OR migrate.,0.50,Ambiguous match; needs human eyes
23,CU-022,Health Insurance Between Jobs: Your Best Options in 2026,Ready,2,REVIEW_NEEDED,event,switching-jobs,Review: looks like event but jaccard only 0.56. Could keep as blog OR migrate.,0.56,Ambiguous match; needs human eyes
24,CU-023,Medicaid for Pregnant Women: 2026 Income Limits by State,Ready,2,MIGRATE_TO_TEMPLATE,event,medicaid-pregnant-women-2026,Migrate to event template; delete from Sheet so blog-cron doesn't write it as a blog.,0.88,Strong match to event topic 'medicaid-pregnant-women-2026' (jaccard 0.88)
25,CU-024,CHIP vs Medicaid: What's the Difference for Children?,Low Priority,3,KEEP_AS_BLOG_NO_TEMPLATE_MATCH,,,"KEEP IN SHEET — no template match, treat as blog",0.50,No template match found
26,CU-025,Medicare Advantage vs Original Medicare: Pros and Cons 2026,Ready,2,REVIEW_NEEDED,qa,medicare-advantage-vs-original-medicare,Review: looks like qa but jaccard only 0.50. Could keep as blog OR migrate.,0.50,Ambiguous match; needs human eyes
27,CU-026,How Much Does Medicaid Cost Per Month? Premiums and Copays,Low Priority,3,KEEP_AS_BLOG_NO_TEMPLATE_MATCH,,,"KEEP IN SHEET — no template match, treat as blog",0.50,No template match found
28,CU-027,Texas Medicaid Income Limits 2026: Full Eligibility Guide,Ready,2,MIGRATE_TO_TEMPLATE,track-d,medicaid-eligibility-texas,Track D /medicaid-income-limits/texas owns this. Delete from Sheet to avoid blog-cron writing it.,0.92,State-Medicaid eligibility/income/apply/CHIP intent for TX. Belongs to Track D Medicaid factory.
29,CU-028,How to Apply for Medicaid in Texas (2026),Ready,2,MIGRATE_TO_TEMPLATE,track-d,medicaid-eligibility-texas,Track D /medicaid-income-limits/texas owns this. Delete from Sheet to avoid blog-cron writing it.,0.92,State-Medicaid eligibility/income/apply/CHIP intent for TX. Belongs to Track D Medicaid factory.
30,CU-029,"Texas ACA Marketplace Plans 2026: Costs, Subsidies and Enrollment",Ready,2,KEEP_AS_BLOG_NO_TEMPLATE_MATCH,,,KEEP IN SHEET — no per-state ACA template exists yet (potential future template; not in 7-template universe),0.85,State-ACA marketplace topic — no current template (could be future ma-state-adjacent ACA fork)
31,CU-030,Free Health Insurance in Texas 2026: Medicaid and CHIP Options,Ready,2,MIGRATE_TO_TEMPLATE,track-d,medicaid-eligibility-texas,Track D /medicaid-income-limits/texas owns this. Delete from Sheet to avoid blog-cron writing it.,0.92,State-Medicaid eligibility/income/apply/CHIP intent for TX. Belongs to Track D Medicaid factory.
32,CU-031,Texas CHIP Eligibility 2026: Income Limits and How to Enroll,Ready,2,MIGRATE_TO_TEMPLATE,track-d,medicaid-eligibility-texas,Track D /medicaid-income-limits/texas owns this. Delete from Sheet to avoid blog-cron writing it.,0.92,State-Medicaid eligibility/income/apply/CHIP intent for TX. Belongs to Track D Medicaid factory.
33,CU-032,Florida Medicaid Income Limits 2026: Full Eligibility Guide,Ready,2,MIGRATE_TO_TEMPLATE,track-d,medicaid-eligibility-florida,Track D /medicaid-income-limits/florida owns this. Delete from Sheet to avoid blog-cron writing it.,0.92,State-Medicaid eligibility/income/apply/CHIP intent for FL. Belongs to Track D Medicaid factory.
34,CU-033,How to Apply for Medicaid in Florida (2026),Ready,2,MIGRATE_TO_TEMPLATE,track-d,medicaid-eligibility-florida,Track D /medicaid-income-limits/florida owns this. Delete from Sheet to avoid blog-cron writing it.,0.92,State-Medicaid eligibility/income/apply/CHIP intent for FL. Belongs to Track D Medicaid factory.
35,CU-034,"Florida ACA Marketplace Plans 2026: Costs, Subsidies and Enrollment",Ready,2,KEEP_AS_BLOG_NO_TEMPLATE_MATCH,,,KEEP IN SHEET — no per-state ACA template exists yet (potential future template; not in 7-template universe),0.85,State-ACA marketplace topic — no current template (could be future ma-state-adjacent ACA fork)
36,CU-035,Free Health Insurance in Florida 2026: Medicaid and CHIP Options,Ready,2,MIGRATE_TO_TEMPLATE,track-d,medicaid-eligibility-florida,Track D /medicaid-income-limits/florida owns this. Delete from Sheet to avoid blog-cron writing it.,0.92,State-Medicaid eligibility/income/apply/CHIP intent for FL. Belongs to Track D Medicaid factory.
37,CU-036,Florida CHIP Eligibility 2026: Income Limits and How to Enroll,Ready,2,MIGRATE_TO_TEMPLATE,track-d,medicaid-eligibility-florida,Track D /medicaid-income-limits/florida owns this. Delete from Sheet to avoid blog-cron writing it.,0.92,State-Medicaid eligibility/income/apply/CHIP intent for FL. Belongs to Track D Medicaid factory.
38,CU-037,Georgia Medicaid Income Limits 2026: Full Eligibility Guide,Ready,2,MIGRATE_TO_TEMPLATE,track-d,medicaid-eligibility-georgia,Track D /medicaid-income-limits/georgia owns this. Delete from Sheet to avoid blog-cron writing it.,0.92,State-Medicaid eligibility/income/apply/CHIP intent for GA. Belongs to Track D Medicaid factory.
39,CU-038,How to Apply for Medicaid in Georgia (2026),Ready,2,MIGRATE_TO_TEMPLATE,track-d,medicaid-eligibility-georgia,Track D /medicaid-income-limits/georgia owns this. Delete from Sheet to avoid blog-cron writing it.,0.92,State-Medicaid eligibility/income/apply/CHIP intent for GA. Belongs to Track D Medicaid factory.
40,CU-039,"Georgia ACA Marketplace Plans 2026: Costs, Subsidies and Enrollment",Ready,2,KEEP_AS_BLOG_NO_TEMPLATE_MATCH,,,KEEP IN SHEET — no per-state ACA template exists yet (potential future template; not in 7-template universe),0.85,State-ACA marketplace topic — no current template (could be future ma-state-adjacent ACA fork)
41,CU-040,Free Health Insurance in Georgia 2026: Medicaid and CHIP Options,Ready,2,MIGRATE_TO_TEMPLATE,track-d,medicaid-eligibility-georgia,Track D /medicaid-income-limits/georgia owns this. Delete from Sheet to avoid blog-cron writing it.,0.92,State-Medicaid eligibility/income/apply/CHIP intent for GA. Belongs to Track D Medicaid factory.
42,CU-041,Georgia CHIP Eligibility 2026: Income Limits and How to Enroll,Ready,2,MIGRATE_TO_TEMPLATE,track-d,medicaid-eligibility-georgia,Track D /medicaid-income-limits/georgia owns this. Delete from Sheet to avoid blog-cron writing it.,0.92,State-Medicaid eligibility/income/apply/CHIP intent for GA. Belongs to Track D Medicaid factory.
43,CU-042,North Carolina Medicaid Income Limits 2026: Full Eligibility Guide,Ready,2,MIGRATE_TO_TEMPLATE,track-d,medicaid-eligibility-north-carolina,Track D /medicaid-income-limits/north-carolina owns this. Delete from Sheet to avoid blog-cron writing it.,0.92,State-Medicaid eligibility/income/apply/CHIP intent for NC. Belongs to Track D Medicaid factory.
44,CU-043,How to Apply for Medicaid in North Carolina (2026),Ready,2,MIGRATE_TO_TEMPLATE,track-d,medicaid-eligibility-north-carolina,Track D /medicaid-income-limits/north-carolina owns this. Delete from Sheet to avoid blog-cron writing it.,0.92,State-Medicaid eligibility/income/apply/CHIP intent for NC. Belongs to Track D Medicaid factory.
45,CU-044,"North Carolina ACA Marketplace Plans 2026: Costs, Subsidies and Enrollment",Ready,2,KEEP_AS_BLOG_NO_TEMPLATE_MATCH,,,KEEP IN SHEET — no per-state ACA template exists yet (potential future template; not in 7-template universe),0.85,State-ACA marketplace topic — no current template (could be future ma-state-adjacent ACA fork)
46,CU-045,Free Health Insurance in North Carolina 2026: Medicaid and CHIP Options,Ready,2,MIGRATE_TO_TEMPLATE,track-d,medicaid-eligibility-north-carolina,Track D /medicaid-income-limits/north-carolina owns this. Delete from Sheet to avoid blog-cron writing it.,0.92,State-Medicaid eligibility/income/apply/CHIP intent for NC. Belongs to Track D Medicaid factory.
47,CU-046,North Carolina CHIP Eligibility 2026: Income Limits and How to Enroll,Ready,2,MIGRATE_TO_TEMPLATE,track-d,medicaid-eligibility-north-carolina,Track D /medicaid-income-limits/north-carolina owns this. Delete from Sheet to avoid blog-cron writing it.,0.92,State-Medicaid eligibility/income/apply/CHIP intent for NC. Belongs to Track D Medicaid factory.
48,CU-047,California Medicaid Income Limits 2026: Full Eligibility Guide,Ready,2,MIGRATE_TO_TEMPLATE,track-d,medicaid-eligibility-california,Track D /medicaid-income-limits/california owns this. Delete from Sheet to avoid blog-cron writing it.,0.92,State-Medicaid eligibility/income/apply/CHIP intent for CA. Belongs to Track D Medicaid factory.
49,CU-048,How to Apply for Medicaid in California (2026),Ready,2,MIGRATE_TO_TEMPLATE,track-d,medicaid-eligibility-california,Track D /medicaid-income-limits/california owns this. Delete from Sheet to avoid blog-cron writing it.,0.92,State-Medicaid eligibility/income/apply/CHIP intent for CA. Belongs to Track D Medicaid factory.
50,CU-049,"California ACA Marketplace Plans 2026: Costs, Subsidies and Enrollment",Ready,2,KEEP_AS_BLOG_NO_TEMPLATE_MATCH,,,KEEP IN SHEET — no per-state ACA template exists yet (potential future template; not in 7-template universe),0.85,State-ACA marketplace topic — no current template (could be future ma-state-adjacent ACA fork)
51,CU-050,Free Health Insurance in California 2026: Medicaid and CHIP Options,Ready,2,MIGRATE_TO_TEMPLATE,track-d,medicaid-eligibility-california,Track D /medicaid-income-limits/california owns this. Delete from Sheet to avoid blog-cron writing it.,0.92,State-Medicaid eligibility/income/apply/CHIP intent for CA. Belongs to Track D Medicaid factory.
52,CU-051,California CHIP Eligibility 2026: Income Limits and How to Enroll,Ready,2,MIGRATE_TO_TEMPLATE,track-d,medicaid-eligibility-california,Track D /medicaid-income-limits/california owns this. Delete from Sheet to avoid blog-cron writing it.,0.92,State-Medicaid eligibility/income/apply/CHIP intent for CA. Belongs to Track D Medicaid factory.
53,CU-052,Arizona Medicaid Income Limits 2026: Full Eligibility Guide,Ready,3,MIGRATE_TO_TEMPLATE,track-d,medicaid-eligibility-arizona,Track D /medicaid-income-limits/arizona owns this. Delete from Sheet to avoid blog-cron writing it.,0.92,State-Medicaid eligibility/income/apply/CHIP intent for AZ. Belongs to Track D Medicaid factory.
54,CU-053,How to Apply for Medicaid in Arizona (2026),Ready,3,MIGRATE_TO_TEMPLATE,track-d,medicaid-eligibility-arizona,Track D /medicaid-income-limits/arizona owns this. Delete from Sheet to avoid blog-cron writing it.,0.92,State-Medicaid eligibility/income/apply/CHIP intent for AZ. Belongs to Track D Medicaid factory.
55,CU-054,"Arizona ACA Marketplace Plans 2026: Costs, Subsidies and Enrollment",Ready,3,KEEP_AS_BLOG_NO_TEMPLATE_MATCH,,,KEEP IN SHEET — no per-state ACA template exists yet (potential future template; not in 7-template universe),0.85,State-ACA marketplace topic — no current template (could be future ma-state-adjacent ACA fork)
56,CU-055,Free Health Insurance in Arizona 2026: Medicaid and CHIP Options,Ready,3,MIGRATE_TO_TEMPLATE,track-d,medicaid-eligibility-arizona,Track D /medicaid-income-limits/arizona owns this. Delete from Sheet to avoid blog-cron writing it.,0.92,State-Medicaid eligibility/income/apply/CHIP intent for AZ. Belongs to Track D Medicaid factory.
57,CU-056,Arizona CHIP Eligibility 2026: Income Limits and How to Enroll,Ready,3,MIGRATE_TO_TEMPLATE,track-d,medicaid-eligibility-arizona,Track D /medicaid-income-limits/arizona owns this. Delete from Sheet to avoid blog-cron writing it.,0.92,State-Medicaid eligibility/income/apply/CHIP intent for AZ. Belongs to Track D Medicaid factory.
58,CU-057,Nevada Medicaid Income Limits 2026: Full Eligibility Guide,Ready,3,MIGRATE_TO_TEMPLATE,track-d,medicaid-eligibility-nevada,Track D /medicaid-income-limits/nevada owns this. Delete from Sheet to avoid blog-cron writing it.,0.92,State-Medicaid eligibility/income/apply/CHIP intent for NV. Belongs to Track D Medicaid factory.
59,CU-058,How to Apply for Medicaid in Nevada (2026),Ready,3,MIGRATE_TO_TEMPLATE,track-d,medicaid-eligibility-nevada,Track D /medicaid-income-limits/nevada owns this. Delete from Sheet to avoid blog-cron writing it.,0.92,State-Medicaid eligibility/income/apply/CHIP intent for NV. Belongs to Track D Medicaid factory.
60,CU-059,"Nevada ACA Marketplace Plans 2026: Costs, Subsidies and Enrollment",Ready,3,KEEP_AS_BLOG_NO_TEMPLATE_MATCH,,,KEEP IN SHEET — no per-state ACA template exists yet (potential future template; not in 7-template universe),0.85,State-ACA marketplace topic — no current template (could be future ma-state-adjacent ACA fork)
61,CU-060,Free Health Insurance in Nevada 2026: Medicaid and CHIP Options,Ready,3,MIGRATE_TO_TEMPLATE,track-d,medicaid-eligibility-nevada,Track D /medicaid-income-limits/nevada owns this. Delete from Sheet to avoid blog-cron writing it.,0.92,State-Medicaid eligibility/income/apply/CHIP intent for NV. Belongs to Track D Medicaid factory.
62,CU-061,Nevada CHIP Eligibility 2026: Income Limits and How to Enroll,Ready,3,MIGRATE_TO_TEMPLATE,track-d,medicaid-eligibility-nevada,Track D /medicaid-income-limits/nevada owns this. Delete from Sheet to avoid blog-cron writing it.,0.92,State-Medicaid eligibility/income/apply/CHIP intent for NV. Belongs to Track D Medicaid factory.
63,CU-062,Ohio Medicaid Income Limits 2026: Full Eligibility Guide,Ready,3,MIGRATE_TO_TEMPLATE,track-d,medicaid-eligibility-ohio,Track D /medicaid-income-limits/ohio owns this. Delete from Sheet to avoid blog-cron writing it.,0.92,State-Medicaid eligibility/income/apply/CHIP intent for OH. Belongs to Track D Medicaid factory.
64,CU-063,How to Apply for Medicaid in Ohio (2026),Ready,3,MIGRATE_TO_TEMPLATE,track-d,medicaid-eligibility-ohio,Track D /medicaid-income-limits/ohio owns this. Delete from Sheet to avoid blog-cron writing it.,0.92,State-Medicaid eligibility/income/apply/CHIP intent for OH. Belongs to Track D Medicaid factory.
65,CU-064,"Ohio ACA Marketplace Plans 2026: Costs, Subsidies and Enrollment",Ready,3,KEEP_AS_BLOG_NO_TEMPLATE_MATCH,,,KEEP IN SHEET — no per-state ACA template exists yet (potential future template; not in 7-template universe),0.85,State-ACA marketplace topic — no current template (could be future ma-state-adjacent ACA fork)
66,CU-065,Free Health Insurance in Ohio 2026: Medicaid and CHIP Options,Ready,3,MIGRATE_TO_TEMPLATE,track-d,medicaid-eligibility-ohio,Track D /medicaid-income-limits/ohio owns this. Delete from Sheet to avoid blog-cron writing it.,0.92,State-Medicaid eligibility/income/apply/CHIP intent for OH. Belongs to Track D Medicaid factory.
67,CU-066,Ohio CHIP Eligibility 2026: Income Limits and How to Enroll,Ready,3,MIGRATE_TO_TEMPLATE,track-d,medicaid-eligibility-ohio,Track D /medicaid-income-limits/ohio owns this. Delete from Sheet to avoid blog-cron writing it.,0.92,State-Medicaid eligibility/income/apply/CHIP intent for OH. Belongs to Track D Medicaid factory.
68,CU-067,Pennsylvania Medicaid Income Limits 2026: Full Eligibility Guide,Ready,3,MIGRATE_TO_TEMPLATE,track-d,medicaid-eligibility-pennsylvania,Track D /medicaid-income-limits/pennsylvania owns this. Delete from Sheet to avoid blog-cron writing it.,0.92,State-Medicaid eligibility/income/apply/CHIP intent for PA. Belongs to Track D Medicaid factory.
69,CU-068,How to Apply for Medicaid in Pennsylvania (2026),Ready,3,MIGRATE_TO_TEMPLATE,track-d,medicaid-eligibility-pennsylvania,Track D /medicaid-income-limits/pennsylvania owns this. Delete from Sheet to avoid blog-cron writing it.,0.92,State-Medicaid eligibility/income/apply/CHIP intent for PA. Belongs to Track D Medicaid factory.
70,CU-069,"Pennsylvania ACA Marketplace Plans 2026: Costs, Subsidies and Enrollment",Ready,3,KEEP_AS_BLOG_NO_TEMPLATE_MATCH,,,KEEP IN SHEET — no per-state ACA template exists yet (potential future template; not in 7-template universe),0.85,State-ACA marketplace topic — no current template (could be future ma-state-adjacent ACA fork)
71,CU-070,Free Health Insurance in Pennsylvania 2026: Medicaid and CHIP Options,Ready,3,MIGRATE_TO_TEMPLATE,track-d,medicaid-eligibility-pennsylvania,Track D /medicaid-income-limits/pennsylvania owns this. Delete from Sheet to avoid blog-cron writing it.,0.92,State-Medicaid eligibility/income/apply/CHIP intent for PA. Belongs to Track D Medicaid factory.
72,CU-071,Pennsylvania CHIP Eligibility 2026: Income Limits and How to Enroll,Ready,3,MIGRATE_TO_TEMPLATE,track-d,medicaid-eligibility-pennsylvania,Track D /medicaid-income-limits/pennsylvania owns this. Delete from Sheet to avoid blog-cron writing it.,0.92,State-Medicaid eligibility/income/apply/CHIP intent for PA. Belongs to Track D Medicaid factory.
73,CU-072,New York Medicaid Income Limits 2026: Full Eligibility Guide,Ready,3,MIGRATE_TO_TEMPLATE,track-d,medicaid-eligibility-new-york,Track D /medicaid-income-limits/new-york owns this. Delete from Sheet to avoid blog-cron writing it.,0.92,State-Medicaid eligibility/income/apply/CHIP intent for NY. Belongs to Track D Medicaid factory.
74,CU-073,How to Apply for Medicaid in New York (2026),Ready,3,MIGRATE_TO_TEMPLATE,track-d,medicaid-eligibility-new-york,Track D /medicaid-income-limits/new-york owns this. Delete from Sheet to avoid blog-cron writing it.,0.92,State-Medicaid eligibility/income/apply/CHIP intent for NY. Belongs to Track D Medicaid factory.
75,CU-074,"New York ACA Marketplace Plans 2026: Costs, Subsidies and Enrollment",Ready,3,KEEP_AS_BLOG_NO_TEMPLATE_MATCH,,,KEEP IN SHEET — no per-state ACA template exists yet (potential future template; not in 7-template universe),0.85,State-ACA marketplace topic — no current template (could be future ma-state-adjacent ACA fork)
76,CU-075,Free Health Insurance in New York 2026: Medicaid and CHIP Options,Ready,3,MIGRATE_TO_TEMPLATE,track-d,medicaid-eligibility-new-york,Track D /medicaid-income-limits/new-york owns this. Delete from Sheet to avoid blog-cron writing it.,0.92,State-Medicaid eligibility/income/apply/CHIP intent for NY. Belongs to Track D Medicaid factory.
77,CU-076,New York CHIP Eligibility 2026: Income Limits and How to Enroll,Ready,3,MIGRATE_TO_TEMPLATE,track-d,medicaid-eligibility-new-york,Track D /medicaid-income-limits/new-york owns this. Delete from Sheet to avoid blog-cron writing it.,0.92,State-Medicaid eligibility/income/apply/CHIP intent for NY. Belongs to Track D Medicaid factory.
78,CU-077,Illinois Medicaid Income Limits 2026: Full Eligibility Guide,Ready,3,MIGRATE_TO_TEMPLATE,track-d,medicaid-eligibility-illinois,Track D /medicaid-income-limits/illinois owns this. Delete from Sheet to avoid blog-cron writing it.,0.92,State-Medicaid eligibility/income/apply/CHIP intent for IL. Belongs to Track D Medicaid factory.
79,CU-078,How to Apply for Medicaid in Illinois (2026),Ready,3,MIGRATE_TO_TEMPLATE,track-d,medicaid-eligibility-illinois,Track D /medicaid-income-limits/illinois owns this. Delete from Sheet to avoid blog-cron writing it.,0.92,State-Medicaid eligibility/income/apply/CHIP intent for IL. Belongs to Track D Medicaid factory.
80,CU-079,New Jersey Medicaid Income Limits 2026: Full Eligibility Guide,Ready,3,MIGRATE_TO_TEMPLATE,track-d,medicaid-eligibility-new-jersey,Track D /medicaid-income-limits/new-jersey owns this. Delete from Sheet to avoid blog-cron writing it.,0.92,State-Medicaid eligibility/income/apply/CHIP intent for NJ. Belongs to Track D Medicaid factory.
81,CU-080,How to Apply for Medicaid in New Jersey (2026),Ready,3,MIGRATE_TO_TEMPLATE,track-d,medicaid-eligibility-new-jersey,Track D /medicaid-income-limits/new-jersey owns this. Delete from Sheet to avoid blog-cron writing it.,0.92,State-Medicaid eligibility/income/apply/CHIP intent for NJ. Belongs to Track D Medicaid factory.
82,CU-081,Virginia Medicaid Income Limits 2026: Full Eligibility Guide,Ready,3,MIGRATE_TO_TEMPLATE,track-d,medicaid-eligibility-virginia,Track D /medicaid-income-limits/virginia owns this. Delete from Sheet to avoid blog-cron writing it.,0.92,State-Medicaid eligibility/income/apply/CHIP intent for VA. Belongs to Track D Medicaid factory.
83,CU-082,How to Apply for Medicaid in Virginia (2026),Ready,3,MIGRATE_TO_TEMPLATE,track-d,medicaid-eligibility-virginia,Track D /medicaid-income-limits/virginia owns this. Delete from Sheet to avoid blog-cron writing it.,0.92,State-Medicaid eligibility/income/apply/CHIP intent for VA. Belongs to Track D Medicaid factory.
84,CU-083,Washington Medicaid Income Limits 2026: Full Eligibility Guide,Ready,3,MIGRATE_TO_TEMPLATE,track-d,medicaid-eligibility-washington,Track D /medicaid-income-limits/washington owns this. Delete from Sheet to avoid blog-cron writing it.,0.92,State-Medicaid eligibility/income/apply/CHIP intent for WA. Belongs to Track D Medicaid factory.
